ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,Alias,when_added,Duration,Level-2 disciplines,Size
fdde0090-f6ed-4938-91a6-13d370125cde,ICP Interuniversity Programme Physical land resources 2015 2016,2015-09-22,2016-09-30,"['04010303', '01070405', '01050313']",['b73e0e47-ad11-4ce7-a065-2993e6c3b602'],"['2b317cdb-3a20-47d7-b2bd-75aa36eb9734', 'f28fd86e-fce7-4c98-90fb-015b1a4e5523']",[],[],0,12,"['0401', '0107', '0105']",1
0f80da13-5ac3-45c0-a0df-c2bd93051dbe,ERC Professorship GlycoTarget,2014-03-01,2019-02-28,"['010608', '030130', '030116', '030617', '030630', '030120', '010611', '030620', '030616', '030217', '010602', '030230', '030216', '030117']",['8834112c-33f1-4ee6-8a34-9c09a7b71535'],['adbfa1d6-6a4b-4abf-8dc4-ea71c647af26'],[],[],0,60,"['0106', '0301', '0301', '0306', '0306', '0301', '0106', '0306', '0306', '0302', '0106', '0302', '0302', '0301']",1
0e185133-3ddf-4f8a-81d6-2ddc76a49cb6,EU Promotion of Democratic Governance via Functional Cooperation The Case of Twinning in Ukraine,2016-07-01,2017-01-31,"['050604', '050602', '050699', '050607', '050606', '050608', '050605', '050299', '050601', '050603', '050502']","['f19619e2-340d-47ef-9792-35d2436febc4', 'e011bd37-a5a1-46af-bf93-cf0a36b66ab5']",['45ff2fc2-f78b-489c-ae38-b6fca2022521'],[],[],0,7,"['0506', '0506', '0506', '0506', '0506', '0506', '0506', '0502', '0506', '0506', '0505']",2
fc7f8873-326f-41fe-9c75-08ea05d8058b,Somite development in 3D in vitro synthetic microenvironments,2018-01-01,2018-12-31,['010699'],['05e00835-520a-4d3b-8e53-fbe03c1e43c7'],['b9b3c61e-650e-4463-a0e2-6de8f49917ba'],[],[],0,12,['0106'],1
9be600ee-e306-4fac-8c4b-0e5134b9ff28,Housing for Refugee Inclusion exploring inclusive housing design and housing governance models,2020-01-01,2023-12-31,"['02011199', '05040413', '05040702', '05060199', '06040106']",['3de615bf-4167-4fa5-a4d3-0dac8248798a'],['3420d399-29f4-4edf-9f9d-252e7b1d400d'],[],[],0,48,"['0201', '0504', '0504', '0506', '0604']",1
ee843e8f-9c18-4c14-bfee-641e18fbd8e0,Lost tributaries of the Scheldt reconstructing the Mesolithic hunter gatherer river landscape of the Waasland polders,2019-01-01,2019-12-31,"['06010119', '06010124', '06010108', '06010116']","['45230f30-5ba1-4ba1-a305-1307392c1cc1', 'acb40a5f-ab6c-4759-90b2-7f2bc628d4a4']",['eda251f4-4796-4ac5-a6de-0e58a70f58aa'],[],[],0,12,"['0601', '0601', '0601', '0601']",2
bf2e0a13-e0bf-48cd-8339-c8c256770b1c,The association between motor skill learning and dynamics of GABA synaptic density and connectivity in motor related brain regions,2020-08-04,2024-08-04,"['03011804', '03011899', '03012306', '03012301', '03012302']","['d86af692-304d-42dd-bb1f-86d0113be027', '24e9ba01-07dc-4123-af67-19e82f5fc108', '56ac1881-71e5-40bd-b091-c03772e3d5f0', '86690a80-d34d-4672-b776-265a498d042b']","['d4a49766-ed89-4de9-a06b-3c45f728354f', '3597372b-603f-4e36-95a9-f6dc37270c36']",[],[],0,48,"['0301', '0301', '0301', '0301', '0301']",4
7a8539e2-93ad-4864-a4c7-405ec848fdd4,Towards dynamic navigational charts for highly automated inland waterway transport,2020-09-04,2024-09-04,['02020301'],"['e739bf7a-76c2-4e6e-8b6e-4dcf863be95f', 'de9b5279-ca23-4f12-a7b7-c914440879f0']","['4ad02e7f-d5fa-4d66-98bb-d2f63929649a', '4c3d49cc-8736-470b-8b73-df3dfe650617']",[],[],0,48,['0202'],2
70295923-ab2c-44c6-ac9f-2ff4f28b5a75,Analysing the impact of head end tail end effect on the performance of large irrigation schemes,2020-05-14,2024-05-14,"['01070310', '04010302', '01050607']","['8c662e7b-3e22-4f37-bc2f-a4c7f8593181', '8d75503c-b197-42ff-97a2-ff3ca483bc49', '68704dd4-d54f-4b74-b9fc-bfd6848d0ba4']","['f74d3c9c-2f54-4b95-9b41-61afcfe2a878', 'f1d31716-0293-4cd8-b883-eae9a3e57dbf']",[],[],0,48,"['0107', '0401', '0105']",3
c04fd85a-d90f-438d-b06a-e5606588ba84,2D materials optomechanics in Silicon photonics,2021-01-01,2021-06-30,"['01030999', '01030904']","['2e1cb018-8750-4c8e-a23b-a5244883a5a6', 'c4058400-b35e-4611-96d2-635bb27c7af8']",['16a28d37-6005-49e4-be1b-46b8c76f6640'],[],[],0,6,"['0103', '0103']",2
