ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,when_added
3336759f-f9c8-4226-b15f-0aa813d2e242,A multi omic approach to characterize gene dosage compensation in Leishmania ,2018-10-01Z,2021-09-30Z,"['010207', '010603', '010608', '020803', '030102', '030120', '030202', '030220', '030301', '030303', '030602', '030620', '040201']","['a461c930-f4a1-4a49-b439-de5dfdbbe667', 'ca8b6d14-96c2-4894-80fc-3f4c2949f3cf', '9202dacd-3a1c-4562-a06e-5fa288f19095']","['0fae3b9a-9c7f-49e4-956e-20e9a851a701', 'da67bc6c-def0-487c-acac-8fe2406df9e2', '0fae3b9a-9c7f-49e4-956e-20e9a851a701']",[],1
e6951900-08ee-414e-9261-cf655da364a8,Design and validation of distributed EEG signal processing methods for a wearable network of galvanically independent recording units ,2018-09-25Z,2022-09-30Z,"['020203', '020303', '020308', '020802', '020205', '020601', '020804', '010103', '010202', '010203', '010204', '010205', '010206', '010207', '010208', '010209', '010299']","['77ce3292-7e24-44fc-8bf8-c615c301d5a1', '29db9c55-d2ab-4f3b-bbb6-78dca4944aa5']","['768b5724-dae3-4a6d-96fb-8dab4e108494', '768b5724-dae3-4a6d-96fb-8dab4e108494']",[],1
a94a9b04-83dc-4b8b-8ed0-c5649fd1849f,osMID on site multiscreening of illicit drugs ,2017-01-01Z,2019-12-31Z,"['010401', '010406', '020406']",['b66cbcd6-4c18-44e6-8d15-c19350644585'],['2b9c7e71-73b3-4d90-873d-d1ed1cb000c2'],[],1
b47de3c9-c517-43ec-bc49-775b6836e8f8,In vivo molecular imaging research IMIR ,2010-11-01Z,2018-10-31Z,['030504'],"['4943eb26-1ccc-492e-945e-57ee51d613bc', '0fb54537-3604-4f0f-9352-d9ef70f49887', '1aae6a48-5264-464f-a51d-9e4ee2bb34c5', '2ebc5e0b-3fa1-4999-a5f4-b1c78fb809ea', '0a6089d9-d925-4a70-b726-ca5d8cbf7167', 'b56b779a-64e0-4f62-999c-6a7816ba2050', 'fed9b090-0961-4c0f-b037-64da48afe9e9', 'fe2d6d02-4ef6-41f1-b125-f438aa8eae14', 'e66b4c72-61f9-42dd-8224-a5b2660dae44', '400cdfb1-243a-4a48-9da7-ea5296d057ce']","['b9a78e8d-96d6-4b0e-96eb-11dbd0510c85', 'f8a2c131-1e07-40cf-af96-caa670c0b1c8', 'f8a2c131-1e07-40cf-af96-caa670c0b1c8', 'f8a2c131-1e07-40cf-af96-caa670c0b1c8', '1e55d167-4192-47f4-8f54-55040f0af4d0', 'f8a2c131-1e07-40cf-af96-caa670c0b1c8', 'b9a78e8d-96d6-4b0e-96eb-11dbd0510c85', 'c97a6b7a-f97e-49b2-8fc4-7df2bc04e72c', '1f123988-3dd8-4fbe-8e98-7b8b2fff53cc', '1f123988-3dd8-4fbe-8e98-7b8b2fff53cc']",[],1
4eac7b5e-d565-4024-b183-951a12932aef,Fast and precise automatic measurement of speech understanding on multiple diagnostic levels ,2018-09-03Z,2022-09-01Z,"['030123', '030623', '050103', '050105', '050106']","['3b245b4f-cd9f-407b-87ab-f4586bd2b506', 'ea580b16-a354-4f72-ae6f-2773725e4653', '4a8fe3be-4efa-4bee-87f7-bf90880b3ab3']","['fe50c4d2-1aac-43b8-9e78-dd1a4ae2ec4f', 'fe50c4d2-1aac-43b8-9e78-dd1a4ae2ec4f', 'fe50c4d2-1aac-43b8-9e78-dd1a4ae2ec4f']",[],1
00ccc0f8-3ab6-4beb-a06a-415cd65818d3,The development of a selective finger tip biosensor for the on site detection of coca ne APTADRU ,2014-12-15Z,2018-01-31Z,"['010401', '010406']",['b66cbcd6-4c18-44e6-8d15-c19350644585'],['2b9c7e71-73b3-4d90-873d-d1ed1cb000c2'],[],1
dbcbfcde-ff8b-4762-80dc-18656d4f1a32,Signal processing algortihms for wireless acoustic sensor networks ,2008-01-01Z,2011-12-31Z,['020307'],"['29db9c55-d2ab-4f3b-bbb6-78dca4944aa5', '6aaad620-7679-46e2-bbac-6ef7100b9a5f']","['768b5724-dae3-4a6d-96fb-8dab4e108494', '768b5724-dae3-4a6d-96fb-8dab4e108494']",['ec312b91-06df-487c-852e-7dffbbc331f5'],1
b93fab3d-4acf-420e-afe3-3e0951cc5da3,Diagnosing aphasia by EEG based neural tracking of natural speech,2020-01-01Z,2023-12-31Z,"['03040699', '05010801', '05010805', '02060104', '05010304']","['4a8fe3be-4efa-4bee-87f7-bf90880b3ab3', '98a5245c-2091-412b-b9f5-bfff1858b85a']","['fe50c4d2-1aac-43b8-9e78-dd1a4ae2ec4f', 'fe50c4d2-1aac-43b8-9e78-dd1a4ae2ec4f']",[],1
c1855b3e-3e5b-4b76-bc4f-821ba0b9394e,iNNOCENS data driven clinical decision support for improved neonatal care ,2019-05-01Z,2020-04-30Z,"['01020104', '03022901']","['a461c930-f4a1-4a49-b439-de5dfdbbe667', '7149714b-e046-46f6-a0e7-b28c67cb4f28']","['0fae3b9a-9c7f-49e4-956e-20e9a851a701', 'e6849ce0-1777-45da-a2c7-feaad191bd0e']",[],1
c215df5d-85dd-427c-871a-2cd6254a55bf,Harnessing the expression of interleukin 15 and CD56 in immunotherapeutic strategies combating leukemia a functional and mechanistic characterization ,2015-10-01Z,2017-09-30Z,"['010611', '030113', '030114', '030116', '030213', '030214', '030216', '030613', '030614', '030616']","['7fc15c68-e753-4192-99c3-4f4504c945f3', '273b9981-2fe2-4969-be73-fda750732186', '6aa690db-db56-48da-beec-a3756e736ed8']","['12d6edf5-1295-4d53-a89c-f8954a3b56f4', '0a0854d3-cfe4-4d6b-83ed-4f9f0ab651ab', '12d6edf5-1295-4d53-a89c-f8954a3b56f4']",[],1
578dd9c4-1ffa-41fd-8a61-cebe1a306668,Electrosensing smart device for multi drug detection E DRUGSENS ,2019-11-01Z,2021-10-30Z,"['01040605', '01049903']","['b66cbcd6-4c18-44e6-8d15-c19350644585', '17bdc0d8-6993-4bf4-8751-13e7aa5d6c0b']","['2b9c7e71-73b3-4d90-873d-d1ed1cb000c2', '2b9c7e71-73b3-4d90-873d-d1ed1cb000c2']",[],1
74cfbdc1-ca9c-4a8e-9a46-54abdb5e491a,Feasibility study for the use of modified gelatin as a matrix for biomolecules with the aim of developing electrochemical biosensors ,2013-01-01Z,2013-06-16Z,"['010401', '010406', '010602', '010611', '030117', '030217', '030617']","['b66cbcd6-4c18-44e6-8d15-c19350644585', '624db24a-6ae3-4b3a-944e-e88a55b9ad8b']","['2b9c7e71-73b3-4d90-873d-d1ed1cb000c2', '2b9c7e71-73b3-4d90-873d-d1ed1cb000c2']",[],1
bfd7c35e-c4e4-4a05-b0ab-6ee813b0b3f5,Infrastructure for soft and delicate matter imaging ,2012-04-26Z,2017-12-31Z,"['010304', '020206', '020601', '020804']","['0549e7c4-eda8-43d4-8fd3-ff2af240ea67', 'f350d2bc-ff7f-4cc3-8a1f-6f7102bd0659', 'b66cbcd6-4c18-44e6-8d15-c19350644585']","['03bd77e2-bef0-46bc-9e50-271d552f8d91', 'b3470804-966e-4c92-8f5e-436529787004', '2b9c7e71-73b3-4d90-873d-d1ed1cb000c2']",[],1
811b4274-f576-4e2a-b726-0e48bbd03dab,EEG everywhere and always design of signal processing algorithms for high density mobile electroencephalography,2016-01-01Z,2018-12-31Z,"['020205', '020206']",['29db9c55-d2ab-4f3b-bbb6-78dca4944aa5'],['768b5724-dae3-4a6d-96fb-8dab4e108494'],[],1
b5d979a8-b94c-4dcd-aab2-e06f3918bdbd,A platform to functionally assess clinically relevant respiratory parameters in small animal models for infectious and non infectious pulmonary research ,2020-01-01Z,2021-12-31Z,"['03011406', '03062001', '03062002', '03062007', '03063301']","['140ba121-19f2-4911-b4a5-b1f5168a6da2', '8a4e1f41-bd49-40da-821a-f5f985408989', '1837462b-d8e8-4820-9c88-1d92285c1679']","['941890fc-26eb-47e8-9232-d0dc3c2ff75e', 'e6849ce0-1777-45da-a2c7-feaad191bd0e', '941890fc-26eb-47e8-9232-d0dc3c2ff75e']",[],1
53a32193-df9f-4f65-b5ab-18b8cf5609b2,Development of a unified sound processing strategy for combined electric and acoustic auditory stimulation,2015-12-03Z,2020-12-31Z,"['03062302', '02080402', '03040602', '02020502']","['826d47a5-54d6-4372-a5aa-985b329f75bf', '743606fb-c586-4f19-92dd-4b31fd2987f4', '4a8fe3be-4efa-4bee-87f7-bf90880b3ab3']","['fe50c4d2-1aac-43b8-9e78-dd1a4ae2ec4f', 'fe50c4d2-1aac-43b8-9e78-dd1a4ae2ec4f', 'fe50c4d2-1aac-43b8-9e78-dd1a4ae2ec4f']",['d30e83b1-8759-444e-b116-bb7facb95562'],1
28967878-c4d4-466d-b092-d3a412e778fd,Tracing ions in mass spectra to identify small molecules TractION ,2017-11-01Z,2019-10-31Z,"['010201', '010207', '010603', '020803', '030102', '030202', '030301', '030303', '030602', '050105']","['a461c930-f4a1-4a49-b439-de5dfdbbe667', '4e216c9f-c254-48ed-a5ab-78ddd8dfff58']","['0fae3b9a-9c7f-49e4-956e-20e9a851a701', '69442e83-968d-462f-b42e-e7d08b6e7498']",[],1
0fe100f6-87d2-463f-9e1e-0982d44fa94f,Distributed Signal Processing Algorithms for Multi Task Wireless Acoustic Sensor Networks,2013-03-01Z,2017-10-24Z,"['020203', '020303', '020308', '020802', '010103', '010202', '010203', '010204', '010205', '010206', '010207', '010208', '010209', '010299', '020205', '020601', '020804']","['29db9c55-d2ab-4f3b-bbb6-78dca4944aa5', '6aaad620-7679-46e2-bbac-6ef7100b9a5f', '38b5b91e-e964-4701-86d3-a82b7e8b3639']","['768b5724-dae3-4a6d-96fb-8dab4e108494', '768b5724-dae3-4a6d-96fb-8dab4e108494', '768b5724-dae3-4a6d-96fb-8dab4e108494']",['78d6bca7-a7fb-456e-a96f-8551b7d47c0e'],1
78bc6324-a858-4f10-b961-030343d1e139,COVID 19 National surveillance in wastewater ,2020-12-09Z,2022-09-14Z,"['01060802', '03012007', '03013301', '03030202']","['425fd3a0-74f2-4685-b880-955d802195a5', '1837462b-d8e8-4820-9c88-1d92285c1679']","['6214b1dc-1d47-4bf7-a0bb-ba5898b0be01', '941890fc-26eb-47e8-9232-d0dc3c2ff75e']",[],1
87301c6f-ecda-4079-93dd-40a7e937d8fd,In vivo studies of the pathogenesis of fungal infections in experimental models ,2013-10-01Z,2018-12-31Z,"['010602', '010611', '030117', '030617']","['5164d8bb-dc48-4cdb-b87b-d2c36688abe8', '0a6089d9-d925-4a70-b726-ca5d8cbf7167', '29651f7d-bcba-454b-8da5-54c760a060e9', '74c48ef6-c67c-466b-b4e5-fb60a7f6709b']","['1e55d167-4192-47f4-8f54-55040f0af4d0', '1e55d167-4192-47f4-8f54-55040f0af4d0', '1e55d167-4192-47f4-8f54-55040f0af4d0', 'f27f1025-9cc0-4362-b824-676448dd978e']",[],1
