ID,Name,WoS disciplines,Disciplines,Persons,when_added
fcb710b8-43a6-49a6-a256-680885df6a5e,ERROR,ERROR,ERROR,ERROR,1
bec84161-44c3-440b-8137-95faafd3d9b3,In vivo and ex vivo 19-fluorine magnetic resonance imaging and spectroscopy of beta-cells and pancreatic islets using GLUT-2 specific contrast agents,['000392757600008'],['0306'],"['fb9661c6-0e0e-4365-b741-51445e03947b', '45ca52c7-065c-4548-96ba-9581ddc24301', '0a6089d9-d925-4a70-b726-ca5d8cbf7167', '86d55ffb-ce80-4a06-a7d4-979b995a6272', 'f3238076-4ee7-45fe-9d83-af161b7f13e8', 'e48375e0-11ac-4173-a4d9-91ad9342d9a2', '7573b222-1421-4d52-978c-f426820fe8ac', '0369f60d-3b03-4677-a55c-bd6c7224d92b', 'cbd10550-9e20-4474-aebe-6c4bd5e0515a', 'fec8f67b-115c-40da-b8ea-3c4284640064', '16f43f67-4d14-49da-b33b-f06eb2a5b678']",1
d792cdcf-ecfc-400c-9782-19450b8ec19e,ERROR,ERROR,ERROR,ERROR,1
9f6a8c57-c53d-43a3-b2ca-1d0d086e72ee,Two dimensional mapping of iron release in marine sediments at submillimetre scale,['000399865800005'],"['/', '0105']","['47a4d840-95af-4ad8-8509-7db9a0d49ee6', 'c31a85cd-7caf-414a-bed0-b1b2619df995', '8a9d5d08-2690-414e-a634-9b314121499e', '59c04211-496d-482a-a330-db9f5f9df51c', 'f1a3ddc5-09a4-4033-9088-32bf227ebf8f', '47129184-5119-47ab-ac98-c50a50889fb8']",1
b2275eef-8163-473e-93d5-231d72c86b95,ERROR,ERROR,ERROR,ERROR,1
20b8c84d-6667-4d4b-a252-bec71eac1b9d,"Loss-of-function HDAC8 mutations cause a phenotypic spectrum of Cornelia de Lange syndrome-like features, ocular hypertelorism, large fontanelle and X-linked inheritance",['000336483200008'],"['0306', '0306']","['976411dc-b4b6-408d-89b8-be303fd3683c', 'ab5104ee-72de-40d5-99ee-266eb6a0ab8e', '99012214-3cda-4050-ac1c-7729b8b1a4e7', '3de0648e-2854-44c5-94c2-57cfd4e85865', 'ea1d2aa3-6e62-47f6-85d3-b48db2a93132']",1
910e5401-885a-4e8c-8a61-fc3776413ca8,ERROR,ERROR,ERROR,ERROR,1
569cc0fc-11a0-401d-9063-d9c4ccf846d6,Modeling the relationship between acoustic stimulus and EEG with a dilated convolutional neural network,[],[],"['e51d3ae7-f6da-4077-b686-d473b64d432f', '92db4201-322d-43ff-a7c6-dd82b77ea8b8', '30de352c-c238-4b59-8028-db0097022f77', '4a8fe3be-4efa-4bee-87f7-bf90880b3ab3', 'bfee72df-514b-410d-886a-aae12cbaad41']",1
e61ee02c-7340-4a51-96d9-fc1d5c93ca5d,Quality control in mass spectrometry-based proteomics,['000440553600006'],['0104'],"['2c556ff0-737c-4d42-8088-082e5d41ea29', 'a461c930-f4a1-4a49-b439-de5dfdbbe667', '9cdfd7b8-0856-4f1a-8db6-644ffc53a0e9', 'db934aae-21ae-4cae-8b29-bc67e1d1b8e0', '3002fd6e-8077-417e-85e4-c6c9fccecf0a', '5a09f4db-0a4c-4a71-a2e0-c6f06cb58b5d', 'c59ac286-fa88-46e5-ac0d-a3e32d1ed905']",1
book-component:a41c4954-d43f-4099-8376-665d2c11ac0c,ERROR,ERROR,ERROR,ERROR,1
book-component:e88c028e-252f-4162-8ffc-ed7e4dc9aa99,ERROR,ERROR,ERROR,ERROR,1
book-component:c4d13b21-ac2a-409e-9551-6df02c8abc0b,ERROR,ERROR,ERROR,ERROR,1
136f939f-91a0-4e83-b663-d5c59824c048,Quantifying particle dispersal in aquatic sediments at short time scales,['000259452600004'],['0107'],"['47a4d840-95af-4ad8-8509-7db9a0d49ee6', '8a618450-35fe-4fca-a1e3-c7f3aaaa2029', 'd1993316-9f6c-42ce-9935-289ea743b13f', '5ff36ea1-00a4-4c99-9042-d324f3b52fa9']",1
09275002-4f52-4a6a-a643-e6c4ae8e1d7d,Altered $CD4^{&#43;}T$ cell immunity in nurses occupationally exposed to viral pathogens,['000447754600005'],['0306'],"['9b47ee29-3c65-4cba-a94d-713d16be6ace', 'f070acf7-6725-40fd-b57d-f4e0a2e3f467', '4e272740-8aca-4f46-bdde-3c70cc005d35', 'a8e75dd5-9321-4585-bc40-14977cf3699c', 'f87d1ed6-d363-4926-b453-343b1a8602cf', '4f0d1785-b300-411b-a527-e0a59ef5f8d6', '273b9981-2fe2-4969-be73-fda750732186', '7fc15c68-e753-4192-99c3-4f4504c945f3', 'db65ee29-04fe-419e-a5b6-1c9ea5035a9b', '0d2baaf2-82d9-42ef-8a93-a3161e6b155d', 'd80a64f2-7cfe-4d44-b954-35db94942fae']",1
2ac11e36-ea76-4a08-8b80-531bd43cdf58,Flow cytometric detection of endothelial microparticles (EMP): Effects of centrifugation and storage alter with the phenotype studied,['000275786000010'],"['0306', '0306']","['4fe37d95-c230-4816-b856-8b5961ad7fb6', 'a34fdcb0-ad29-4aa1-8d28-520dd039e114', '7fc15c68-e753-4192-99c3-4f4504c945f3', '3264496f-7b67-4279-8725-f3ba49150961', 'd0bc7d00-f73d-4fbc-a1b2-44b2b8840f88', '53bc1bcf-37eb-4312-94a0-56a59ecebd59']",1
a34c4c5b-734e-4405-8843-04a5e45a65ba,Improved molecular diagnostics of idiopathic short stature and allied disorders,['000278444000063'],['0306'],"['976411dc-b4b6-408d-89b8-be303fd3683c', '39fbb8d3-c059-4545-9491-bc47b49c0d07', '7e06319e-b42e-43d7-a82a-9837ce1868b5', '9b379806-1ce6-4e2c-b36a-76c0a6a33d02', '8538ef6f-40bf-4ac4-a5a0-6b923e943f0c']",1
63daba52-e9d6-42c3-8cad-7ff7f696ffe9,,['000371261700087'],['0306'],"['a461c930-f4a1-4a49-b439-de5dfdbbe667', 'f16d80d9-e1e8-4c97-a4ac-8db9bb17017a', '2ff4fbef-f48e-4072-8ce0-f403c2873682', '83a2f28c-10ee-4553-ba4e-4425c4ab7fff', '1a4044d7-fdee-443a-8ff0-acb9671e66aa', '8550b527-32fd-4903-b4ea-a4c271f05ba0']",1
d563bf8c-e5c8-4435-85f2-c71d389d32ce,Grasping frequent subgraph mining for bioinformatics applications,['000443514800001'],['0501'],"['f815a791-c6ee-4652-9de8-389bc3a85ffe', 'f16d80d9-e1e8-4c97-a4ac-8db9bb17017a', '2c556ff0-737c-4d42-8088-082e5d41ea29', '3c78a213-5c52-4b1a-b3e3-f71d34841658', '1f0c8638-7040-4bd4-b672-09afe89ba024', '5f7eff71-4318-4514-8003-b780e4db702e', 'a461c930-f4a1-4a49-b439-de5dfdbbe667']",1
c37327be-fc0b-4668-8a2f-7d7851383123,Bioluminescence imaging of stroke-induced endogenous neural stem cell response,['000339538900014'],"['0501', '0306']","['ffccaf9d-dcd8-4c16-a2a4-419fcabf72bb', 'cb67030d-c453-43f2-8768-4653f5791e3b', '94a09801-1c33-4f97-97a1-cf04bcca3d84', '137328d5-82a0-4706-85c9-37a838c2286e', '5164d8bb-dc48-4cdb-b87b-d2c36688abe8', '0a6089d9-d925-4a70-b726-ca5d8cbf7167', '1aae6a48-5264-464f-a51d-9e4ee2bb34c5', 'b832bd19-044f-43d5-a0eb-cf34336427a4', '444f4150-f221-4d88-904c-85432b9e4196', 'a5f73b08-789b-436f-a5dd-de5780a46790', 'c8dd383f-eaac-4c0e-81c4-56176c68a61a', 'a19f6767-eb3c-494c-b381-f26c24696324', '017ce24d-fdd8-4d81-bbfe-40c544e5cbf9', '79b12d11-bba4-4ac2-9daa-76a3991ff69d', 'd7ea6986-b4cb-4928-b228-4abf97d479df']",1
e4c45845-1e8c-428f-ae0d-6a4d75f3ec85,Clinical use of dendritic cells for cancer therapy,['000336505900021'],['0306'],"['e9cc6001-5991-4a6b-8874-9bc89edeb331', '273b9981-2fe2-4969-be73-fda750732186', '88929f47-689b-464e-9e97-4fff36a32482', '7fc15c68-e753-4192-99c3-4f4504c945f3', '671a16d7-e1be-4288-b4d3-48c0ec022bf5']",1
d2f5fcfd-44fa-4a9f-af13-e3e4592d84d9,Sensitive in vivo cell detection using size-optimized superparamagnetic nanoparticles,['000330156100027'],['0306'],"['287d4b37-eed3-4657-b3cb-46cab6895b80', 'bcd2ae63-b7e9-444d-9c56-889986b4fbf5', '5c44e985-2282-4c60-afde-1a774f871838', 'f28671c6-838a-46e4-991e-d9bc2e0f629f', 'c6771c89-5179-4f6f-9a2f-3bc79de0a71a', '0a6089d9-d925-4a70-b726-ca5d8cbf7167', '00f8c0a0-f2cc-4e2f-adb6-a19e6b4a187c', '9b6b1ef8-f6bb-48bf-b122-6c48c6e755ab', '3dc458e9-8499-470c-871c-748e0f575d3b', 'e4b7db30-76cc-41ae-8943-550b0afaa636']",1
d5ffa7d1-571d-434d-8213-350ed9a39d2b,ERROR,ERROR,ERROR,ERROR,1
247e581f-6105-45f9-abda-b3a40c339cd9,Unusual techniques,[],[],"['df72de50-58ae-4952-b565-ceea6a156820', '63c6120f-6d46-4c64-a5d9-ad44fdc39025', '1837462b-d8e8-4820-9c88-1d92285c1679', '8d972df6-d2b1-4605-b407-bee81cb9e00b', '140ba121-19f2-4911-b4a5-b1f5168a6da2']",1
5eb69ad6-00d5-48ac-a052-7460d1b8dd40,Isolation of wheat bran-colonizing and metabolizing species from the human fecal microbiota,['000456676500004'],[],"['47a4d840-95af-4ad8-8509-7db9a0d49ee6', 'f55c790b-89e6-4e19-b2ec-5b913193ffc4', '7566ff07-50fa-4b82-a25e-06411f7af64a', '12489a57-f92a-4390-84ad-493fe74f298a', '504430ac-5907-4d3a-8c89-b7590b25d28f', '71e16895-3026-49b5-9738-fba70be87018', '24b391ed-2626-4d37-86c9-26ddc1912128', 'c714ee7e-df42-4e3e-bae6-2bf529244fbe', '3dcfdae7-ef73-4396-9013-1d6a3b9efe55', 'e1f927ba-9cb6-41f4-af3b-c2045ccfdf3c']",1
6a52a969-38f7-4550-906d-4dec6a67eca6,Noninvasive Monitoring of Suicide Gene Therapy by Using Multimodal Molecular Imaging.,[],[],"['b56b779a-64e0-4f62-999c-6a7816ba2050', '0a6089d9-d925-4a70-b726-ca5d8cbf7167', '8e168917-530b-4435-ab78-5c0ca7ced60a', 'b52bc9fc-a820-4717-ab44-7b08c1f93cbc']",1
