ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,when_added
f2908016-7dfa-4a94-844d-d7bc6f497b20,Semiparametric mixed models for the analysis of genome wide expression data,2009-01-01Z,2013-10-31Z,"['010610', '010207', '020803', '010603', '030602', '010107', '030102', '030301', '030202', '030303', '010103']",['0e372ef9-b178-4350-b169-2b8a6a475e9b'],['77a340c9-7679-4f7b-99d0-8c3e366ddce7'],[],1
e947eca0-30f2-475a-9313-de1542a3a4d2,Regulatory Cooperation Between International Organizations Uncovering Innovative International Law Making Processes,2021-01-01Z,2024-12-31Z,"['05050214', '05050218', '05050220']",['8d991f4d-1e5d-46e7-befa-a009b746cbaa'],['612605e0-ead6-4e3e-b258-8a10285564f1'],[],1
ebdc74ad-4ee5-422b-b3ce-bb2089e40b1d,NINJA Needs and Innovation JuxtAposed ,2018-10-01Z,2022-09-30Z,"['050502', '050599']",['a895ade1-c3c1-4367-8dbe-62169576bbcf'],['da14fbf2-a049-4201-a191-70f94798cfeb'],[],1
3fd6d8e0-2c03-4d46-bab5-cba40b323127,Possibilities of oral vaccination of pigs against Aujeszky 39 s disease,2008-12-01Z,2009-05-31Z,"['030616', '030120', '010611', '030116', '030216', '030620', '010608']",['b6f7bd9c-7140-415f-b428-8b47a514d247'],['6cc5cf21-3993-4700-b404-266547b737cf'],[],1
6d2d6235-7307-4b72-b739-47528173ae64,The geoeconomic challenge to International Economic Law The encroachment of security and strategic considerations in economic policies and the evolution of global economic regulation,2017-11-17Z,2021-11-17Z,"['050502', '050599']","['a895ade1-c3c1-4367-8dbe-62169576bbcf', '8d991f4d-1e5d-46e7-befa-a009b746cbaa', 'a6958958-7a0a-4256-9d85-eb81a90a19f9']","['da14fbf2-a049-4201-a191-70f94798cfeb', '612605e0-ead6-4e3e-b258-8a10285564f1', '612605e0-ead6-4e3e-b258-8a10285564f1']",[],1
2080515d-0472-46d2-89b5-2a6a1181d851,Diabetes management for residential care centers residents researching and setting up a shared care model,2014-06-30Z,2016-10-31Z,"['030116', '030128', '030132', '030199', '030399', '030403', '030499', '030616', '030628', '030632', '030699', '039999', '030109', '030609']",['7298b9cb-e762-49f5-a211-50d4d3e25cc3'],['843bb2fb-e499-4e64-b7f7-20c646bb60bd'],[],1
33c020d1-e6c1-4fb4-bafd-fafd509dcf53,A search for better insights and new targets in the prevention and reversal of obesity and type 2 diabetes ,2012-10-01Z,2015-07-31Z,[],"['7298b9cb-e762-49f5-a211-50d4d3e25cc3', '6547e4f7-f9d0-4a30-96a9-bce14510e456', 'b51fee7d-846b-4c81-b9ff-400202bab4f6']","['843bb2fb-e499-4e64-b7f7-20c646bb60bd', '843bb2fb-e499-4e64-b7f7-20c646bb60bd', '843bb2fb-e499-4e64-b7f7-20c646bb60bd', '843bb2fb-e499-4e64-b7f7-20c646bb60bd']",[],1
d22e1f82-7e40-4880-8b8f-ccaa1fdcc9dc,Use of uPA inhibitors to block invasion of alphaherpesviruses through the mucosa type 3 ,2010-01-01Z,2011-12-31Z,"['030116', '030616', '010611', '030120', '010608', '030620', '030216']",['b6f7bd9c-7140-415f-b428-8b47a514d247'],['6cc5cf21-3993-4700-b404-266547b737cf'],[],1
6ffa96f8-5af5-47c9-a39f-1756435c8eea,Immune responses of swine to highly virulent Chinese porcine reproductive and respiratory syndrome virus PRRSV ,2010-02-14Z,2011-09-30Z,"['030614', '030220', '030214', '040299', '010601', '040201', '030114', '049999']",['b6f7bd9c-7140-415f-b428-8b47a514d247'],['6cc5cf21-3993-4700-b404-266547b737cf'],[],1
d3535613-87a5-445e-97e0-95791b02f6b0,Non Alcoholic Fatty Liver Disease the role of adipose tissue in the development of NASH a translational study,2018-09-12Z,2022-09-12Z,"['030129', '030403', '030629', '030114', '030614', '030110', '030610']","['674a54ee-cefe-43a0-8008-4145ab0e9f5e', '26a1ded1-c19b-4290-8275-310b9f9d3df2', '2aaa92fc-e050-40b5-9179-d91581b1f257']","['f5af8a62-9241-49f1-bd56-a0aea67c9fce', 'c1488dbe-1f72-4548-9799-32301dfedd40', 'c1488dbe-1f72-4548-9799-32301dfedd40']",[],1
76f57bac-09e7-42a6-a793-a0a46fda16f2,Synthesis and evaluation of new lead vitamin D analogs for autoimmune disorders ,2009-08-17Z,2011-08-16Z,[],"['bd703768-55a0-4afe-b150-1bf22e2df985', '78951259-8799-4f62-84b1-d6a5444089d6', '7298b9cb-e762-49f5-a211-50d4d3e25cc3', '77f4617c-b160-49aa-a015-2fd18852b889', '183c1ace-9c68-48bc-8fb5-379a7f1fc925']","['843bb2fb-e499-4e64-b7f7-20c646bb60bd', '851c2b00-cbf3-4404-a784-9784ffe485ee', '843bb2fb-e499-4e64-b7f7-20c646bb60bd', '843bb2fb-e499-4e64-b7f7-20c646bb60bd', '843bb2fb-e499-4e64-b7f7-20c646bb60bd']",[],1
9a058dae-5a55-4e29-b211-b4e905c16b80,Genetic adaptation of bacterial catabolic pathways for pesticide biodegradation role of historical contingency ,2015-01-01Z,2018-12-31Z,"['010704', '040103']","['e396b91b-e0f3-410a-85a4-1bcab5d6ceb8', 'eb3d9780-db85-4532-9320-c17fbf6f52bc', '274327a7-64ba-4f36-81fc-d4f90b73d084']","['e9519ece-fc8b-4742-9727-08b1c53d6d07', 'e9519ece-fc8b-4742-9727-08b1c53d6d07', '960b6e0f-81e7-49eb-9e82-c1a0423d6a51']",[],1
