ID,Name,WoS disciplines,Disciplines,Persons,when_added
c03f3b22-88f2-4462-8bac-9e7cb9a8795e,Replication characteristics of infectious laryngotracheitis virus in the respiratory and conjunctival mucosa,['000343309100009'],['0402'],"['b6f7bd9c-7140-415f-b428-8b47a514d247', '0410c384-bdb8-483f-9da1-4f78e9b457c1', '0280f646-ddf3-47c3-b767-39bb99690748', '7fd2e8aa-5891-485b-8331-3dc34eba44b4', 'b0b34e53-3e94-43ad-996e-c9ad8aea9045', '0e90daba-67dd-41c2-86e2-7fd08722fc17']",1
1ebec0de-e20b-4097-ad62-4a9bf82c0546,Exploring Psycho-physiological Measures for the Design and Behavior of Socially-Aware Avatars in Ubicomp Environments,[],[],"['6e25698c-2922-46da-895a-2f21cdc375df', '6e25698c-2922-46da-895a-2f21cdc375df', '6e25698c-2922-46da-895a-2f21cdc375df', '6e25698c-2922-46da-895a-2f21cdc375df', '8816e1e1-8d1a-4130-b769-8cbda0ab959d', '8816e1e1-8d1a-4130-b769-8cbda0ab959d', '8816e1e1-8d1a-4130-b769-8cbda0ab959d', '8816e1e1-8d1a-4130-b769-8cbda0ab959d', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', '01809df1-01f0-4361-bcda-8b763f56a4be', '01809df1-01f0-4361-bcda-8b763f56a4be', '01809df1-01f0-4361-bcda-8b763f56a4be', '01809df1-01f0-4361-bcda-8b763f56a4be', '914656c8-56eb-43fe-9711-4361394a4597']",1
5477875e-b95c-404b-a911-c8b4a85bf396,Comparison of the efficacy of inactivated PRRSV vaccine virus grown on MARC-145 or PK15SN-CD163 cells,[],[],"['b6f7bd9c-7140-415f-b428-8b47a514d247', '00b9c8a1-79a9-47e6-891c-9e23514b289f', 'f923d7be-a45e-4fcc-828f-4731eee6712d', '94dedf92-2518-4785-b655-7a819112fb07']",1
d9d67303-8f14-4ae2-9947-de36931ec529,Gene expression analysis of monospecies Salmonella Typhimurium biofilms using differential fluorescence induction,['000288723300016'],"['0306', '0306']","['0fbb9f72-07ed-4ff5-8a5a-4e3358564c18', 'bd1b1382-9e0a-49e6-9a4a-304a8b728aea', 'be29c71d-8643-465c-aae4-4ce5ba6352c5', '082b880d-29ab-4399-982b-54ef1b21dacb', '69560a7e-89a6-446d-a47a-0667b7bf9503', 'f0994a19-69d3-4264-adae-b349f1144464', 'a6fad511-a17d-4eb7-bd3b-fe00e4ce741b', '8b7b8f58-aac1-4a67-bfdf-4c2795923838']",1
b50910ee-d281-4e56-95c5-e92b708e65db,Effect decomposition in the presence of an exposure-induced mediator-outcome confounder,['000331098600022'],['0304'],"['0e372ef9-b178-4350-b169-2b8a6a475e9b', 'cdf6b4c0-1239-474d-ae10-8d58749d52b9', 'a5b6799d-3102-4ce1-890e-c9326959843f']",1
2a2f5550-a491-4e4f-98ff-e40ce3529520,Purpose-Centric Appropriation of Everyday Objects as Game Controllers,[],[],"['75512876-903b-419b-ad8b-b66f31285495', '75512876-903b-419b-ad8b-b66f31285495', '75512876-903b-419b-ad8b-b66f31285495', '75512876-903b-419b-ad8b-b66f31285495', '10ea2521-1350-49a4-aa3c-7f0671554026', '10ea2521-1350-49a4-aa3c-7f0671554026', '10ea2521-1350-49a4-aa3c-7f0671554026', '10ea2521-1350-49a4-aa3c-7f0671554026', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', 'eb3c636c-f1a6-4ab6-8fdd-62dbbd37a716', 'f9efcfba-42f0-4a87-99f8-90e2cb668c13', '910779ee-62d2-4361-b768-d2c700caaf09', '9f09b824-702b-46c3-9c0b-93fa47845acb']",1
2757132b-a3b1-4f76-9c22-ca3555775fb1,Identification of an enterovirus recombinant with a torovirus-like gene insertion during a diarrhea outbreak in fattening pigs,['000424296300009'],['0306'],"['d84e5259-4089-4bf8-adb1-4e69c812b74a', 'be559106-6f75-4c4f-939a-64e229de91aa', 'b6f7bd9c-7140-415f-b428-8b47a514d247', '81bb3a76-9e82-4c85-b799-1733e55146a7', '46708150-cc51-4c14-8e59-050638d9f8e8', 'de19b02c-3833-4931-83b9-1f82e7e990a1', '237eb385-7593-4cc4-aa3d-29aaebdc88c2', '9641e9fe-3d3d-46e9-b51e-4de81ca19211', '839babd7-5584-4cd4-b8e2-9e01674dad3b', 'ff7a5a25-149b-42fd-9aa4-c5c1982b60b9', '0ed448b7-16b3-445d-b29c-9d964990731f']",1
a09f73e9-c3e0-4242-9e02-5cc62a3a61d2,Research-driven development of new generation adaptable PRRSV vaccines,[],[],"['b6f7bd9c-7140-415f-b428-8b47a514d247', '01ef706a-5757-4dd1-92bb-902a1f390d47', '00b9c8a1-79a9-47e6-891c-9e23514b289f']",1
f63f4dbf-fdd3-4a27-ae62-4a6e8a31dc1c,Early events of canine herpesvirus 1 infections in canine respiratory and genital mucosae by the use of ex vivo models,['000374369400037'],['0402'],"['b6f7bd9c-7140-415f-b428-8b47a514d247', '7fd2e8aa-5891-485b-8331-3dc34eba44b4', '36c75553-39dd-4c18-ad25-58643b13b59d', 'b29d0db9-8d63-415d-bece-5a82a2010b1a', '0410c384-bdb8-483f-9da1-4f78e9b457c1', '34dfb59d-af78-4e5c-9f37-bd0fb2877642']",1
92bfac52-f657-4de3-a2ce-7869a458f38b,Inferring the relation between transcriptional and posttranscriptional regulation from expression compendia,['000335260700001'],['0306'],"['5f91d77e-a59b-450a-9329-64c5d5567eca', '8b393b03-9dbe-43cb-a421-fc57c1540b71', 'be29c71d-8643-465c-aae4-4ce5ba6352c5', 'eb3d9780-db85-4532-9320-c17fbf6f52bc', 'a07953e0-ecf4-4664-97a0-24e3473bda10']",1
