ID,Name,Disciplines,WoS ID,Disciplines WoS,vabb ID,Disciplines vabb,Persons,Size,Alias,when_added
541d729c-45ea-4fce-a1bc-107f1a9e2427,Building Cosmopolitan Citizenship Through the Mundane: Insights from Walking Conversations in the Public Spaces of Berlin,"['0507', '0604']",[],[],['c:vabb:460059'],"['0507', '0604']","['257ba9ad-4f4c-4c16-a9c8-9fbaaedfed5d', '3de615bf-4167-4fa5-a4d3-0dac8248798a']",2,[],1
4a84c980-210e-4c46-b758-9c35c00108ac,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1
b726ff4a-03e5-42cd-9896-b21fef8caf06,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1
c203d86d-0642-4d28-88c1-06aa6607ab43,"Late Glacial and Holocene vegetation history inferred from peat sequences in the Liereman depression (prov. of Antwerp, B)",[],[],[],[],[],['acb40a5f-ab6c-4759-90b2-7f2bc628d4a4'],6,[],1
448545d2-720b-4fac-aa24-bb4758c30343,The younger Dryas and Preboreal landscape in the Moervaart area (northwestern Belgium) and the apparent decrease in human occupation,"['0299', '0106']",['000440822100004'],"['0299', '0106']",[],[],"['1dba737b-f589-452c-b77d-513df586c373', '11823e0f-1f97-4f77-a559-aa562fe99f51', 'eb426c02-5db9-450d-991c-7eac7edeb3ba', '0e87a7f7-f745-4db1-a1f9-71b6e5c56dea', 'bdf09bca-071b-4682-be43-6c47560ecab3', 'acb40a5f-ab6c-4759-90b2-7f2bc628d4a4']",11,[],1
38af2a6f-80fc-454d-a489-a247862f0ea0,Een GIS benadering van de bronstijdgrafheuvel in Zandig-Vlaanderen: enkele voorlopige resultaten (België),['060101'],[],[],['c:vabb:322823'],['060101'],"['daa43a5f-77e8-4b24-8d44-734f3e818ea9', '5c4d589f-f18e-460a-8938-4dca853d8db6', 'acb40a5f-ab6c-4759-90b2-7f2bc628d4a4', '93f490b7-62d4-47e8-bb08-80252041f606', '11823e0f-1f97-4f77-a559-aa562fe99f51', 'a67bb3c8-4c4f-43c8-b674-c5015c5f9dda', 'eb426c02-5db9-450d-991c-7eac7edeb3ba', '1522a1c2-b1dc-4b68-bfee-99d2448abb9c', 'e165795d-1395-4284-a505-9f068c2c7cb6', '0e87a7f7-f745-4db1-a1f9-71b6e5c56dea', 'f9970bb6-d976-44c9-a672-75784a18e269', 'e5de9cf0-0afb-4cd9-a7a7-abd2e88cf474']",13,[],1
46b1c4e1-9a9b-47af-b8ac-bf5f461410b5,Preliminary structural and chemical study of two quartzite varieties from the same geological formation : a first step in the sourcing of quartzites utilized during the Mesolithic in northwest Europe,"['0299', '0107']",['000324449900003'],['0299'],['c:vabb:354203'],['0107'],"['29adae20-a419-4600-9f16-c96c4a316bfa', 'acb40a5f-ab6c-4759-90b2-7f2bc628d4a4']",7,[],1
348729d5-fc16-4d3d-8008-cfa69e4beed2,The impact of environmental changes on the human occupation of the Scheldt basin during the Younger Dryas.,[],[],[],[],[],['acb40a5f-ab6c-4759-90b2-7f2bc628d4a4'],1,[],1
35b87d2a-db2f-44ca-9d49-280c3f33a49a,Het refittingonderzoek,[],[],[],['c:vabb:353121'],[],"['b38ab233-2472-4149-b2e4-85ae14f85fc3', 'acb40a5f-ab6c-4759-90b2-7f2bc628d4a4']",3,[],1
e79850ab-a55a-425b-a54b-c19ce57e30e7,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1
