ID,Name,Disciplines,when_added
2af46448-9095-4116-8fcf-6ae6b170cc0d,Mathematics-Physics-Informatics,[],1
60e1f554-1c7c-43cb-a94e-0a2f867bb3be,Research Institute: Centre for Environmental Sciences,"['010601', '010604', '010610', '010703', '029999', '030302', '050201', '050502']",1
60b59184-f95d-4c00-8b81-e382a891db90,Neurosciences,"['020601', '030104', '030123', '030223', '030623']",1
e6cc2bcd-21a4-4266-b8f5-c74bed27478c,Faculty of Sciences,"['010101', '010102', '010103', '010106', '010107', '010201', '010202', '010204', '010205', '010207', '010208', '010209', '010304', '010306', '010311', '010401', '010402', '010403', '010405', '010406', '010601', '010602', '010604', '010605', '010607', '010608', '010609', '010610', '010701', '010703', '020504', '020506', '030102', '030121', '030303', '030604']",1
16331166-453c-433c-b5cc-38653dcecc1c,Department of Pharmacology,['030116'],1
9f8afdc7-d72b-4727-b397-6ae8d70a6d02,Chemistry-Biology-Geology,[],1
eb6b8bd9-cbd1-4155-835f-93816dc4ca58,Faculty of Medicine and Life Sciences,"['030111', '030123', '030132', '030205', '030214', '030302', '030304', '030402']",1
e86a9fc3-da2b-4f6b-8c28-88ec0d42ba69,Biology - Geology,[],1
3d3e3cc9-0f76-41d9-9d03-d6cca2fb3b76,Zoology: Biodiversity and Toxicology,"['010601', '010604', '010605', '010607', '010609', '010701', '030121']",1
b93f2caf-74d2-4440-9370-7f82a398498c,Physiology,"['030104', '030105', '030121', '030123', '030130', '030132', '030304', '030622']",1
e3367e3c-eb17-4cbc-b6c9-4934c66296eb,Neurosciences,[],1
f15720f8-954e-4fbe-9e9a-c3573427e5b5,Biomedical Research Institute,"['030232', '030501', '030604', '030605', '030614', '030621', '030622', '030623']",1
811eccb0-d1b0-4cf3-a4c6-42659bafb66d,Department of Internal medicine,"['030628', '030616', '030699', '030116', '030632', '030228', '030216', '030128', '030403', '030299', '030232', '030199', '030499', '030399', '030132', '039999']",1
5acb50b2-b5ed-4ee1-a5ff-b8ff21075ecc,Physics,[],1
