ID,Name,Disciplines,WoS ID,Disciplines WoS,vabb ID,Disciplines vabb,Persons,Size,Alias,when_added
5854a967-5784-40d9-b1b7-7501df83a0f9,Heterogeneous InP on SOI integration for the realization of all-optical logic devices,[],[],[],[],[],"['f08b609f-6b04-4736-8bcc-6484572306a3', '7c930e92-f1d9-44ba-a4c4-98965ba8bb83', '271524c4-0c41-4ecf-9f0d-fd16d8dbfce9', '44b2e75e-6287-4449-a657-a7b0b4cdb481', 'e8f82ef0-a0ca-44dd-97e8-1048a4d97e50', 'c4058400-b35e-4611-96d2-635bb27c7af8']",12,[],1
37920430-1e4f-4538-a741-50b31574ed28,Private standaarden in het internationaal economisch recht: enkele kanttekeningen,[],[],[],['c:vabb:433713'],[],['8d991f4d-1e5d-46e7-befa-a009b746cbaa'],4,[],1
018bb7b6-1146-4032-a03c-7ba63359aab1,InGaAs/GaAs multi-quantum well nano-ridge waveguide photodetector epitaxially grown on a 300-mm Si wafer,[],[],[],[],[],"['0c1aa3f4-1832-4808-a6b7-4c7d704440ae', 'c4058400-b35e-4611-96d2-635bb27c7af8']",8,[],1
3842bdb6-1d93-40b5-94b4-7e53ac07f609,The Interparliamentary Conference on Common Foreign and Security Policy A Quest for Democratic Accountability:,"['0505', '0506']",['000402397300013'],[],['c:vabb:423144'],"['0505', '0506']","['8d991f4d-1e5d-46e7-befa-a009b746cbaa', '29c37a5a-3e61-4007-a282-0cd162ae3ca4']",4,[],1
2efb539c-6e48-4157-8e06-d2c3d3cc393a,Exploring the contribution of gene dosage effects of 17q gain on ESC and neuroblastoma proliferation,[],[],[],[],[],"['2beefa9f-54ad-4d72-9218-680f424d72bf', '63aedbb1-6e4c-40bc-b179-06d75d9f6d1e', 'ce3db0db-65ab-46ea-a45b-549948ea25bb', '83434936-9ccb-4c67-aca4-1122e6512332', '4f9fa669-f633-4214-a4da-235fe3d3de10', '246c951a-259d-4e6d-a62b-c3273e4f1b92', '1e807827-308a-498f-9e65-e38c8d443901', 'c7b5c9dc-cb13-418c-ac7e-6678b7bbc614', '6dd3d40e-553c-49ae-8e13-09a0969b203d', '4c814219-01a5-496d-9b71-7307705d3a9c', 'a480792c-c8b4-4d67-9953-9e130c8b2a67', '6dd110c7-80e5-4950-a45a-90479cb1f6f3', '9c1c3365-6ab8-4cd3-9a09-6fe0702eaccb']",17,[],1
de339242-f38e-410f-ac9c-9be12940ea59,Myhre syndrome: in search of the causal gene,[],[],[],[],[],"['12bfd830-1ed4-4c81-a89f-102614391ac6', '9c1c3365-6ab8-4cd3-9a09-6fe0702eaccb', '4c814219-01a5-496d-9b71-7307705d3a9c']",6,[],1
0220b412-0cbb-47ac-a48e-2f3a8fd2b8d2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1
d114302c-6a62-4005-8ab7-909699e6a138,International (Human Rights) Law as Applied between the Entities of the Belgian Federation,[],[],[],['c:vabb:347039'],[],['8d991f4d-1e5d-46e7-befa-a009b746cbaa'],6,[],1
ab0f8a08-825a-411d-be30-c8413888a3dc,Reducing optical losses in focused-ion-beam etched silicon,[],[],[],[],[],"['11eb8c20-760d-48f0-9872-82da6b8fa718', 'c4058400-b35e-4611-96d2-635bb27c7af8', 'e8f82ef0-a0ca-44dd-97e8-1048a4d97e50']",7,[],1
de105402-a3b9-4a1f-acdd-c2385ec5376d,A novel III-V-on-Si distributed feedback laser design,[],[],[],[],[],"['c4058400-b35e-4611-96d2-635bb27c7af8', 'e8f82ef0-a0ca-44dd-97e8-1048a4d97e50', '271524c4-0c41-4ecf-9f0d-fd16d8dbfce9']",5,[],1
87794851-a85e-4826-8b3d-3efd5c414fc6,Optimized silicon AWG with flattened spectral response using an MMI aperture,"['0501', '0202', '0103']",['000315411500013'],"['0501', '0202', '0103']",[],[],"['6871266c-5f06-460a-a513-e081d590015d', 'c4058400-b35e-4611-96d2-635bb27c7af8', 'c1dc0e6c-3aaa-47dc-8819-86f467da2528']",5,[],1
253cc83a-e759-41fa-a23a-dd5cb9652cd7,Broadband 20 Gbit/s graphene-Si electro-absorption modulator,[],[],[],[],[],"['e6ef67fe-8947-4f52-976c-614eeaa7b48c', 'c4058400-b35e-4611-96d2-635bb27c7af8']",7,[],1
d0271e8f-b849-4aa0-a404-f927e8bc6a79,Reduction of optical bleaching in phosphorus doped ge layer on si,[],['000427282500026'],[],[],[],"['26cadf51-9598-4c45-bcab-9daed2c5c1cb', 'c4058400-b35e-4611-96d2-635bb27c7af8']",8,[],1
bfdaaccc-9dfc-4313-a488-8b46505beda2,Attractive and repulsive optical gradient forces between silicon waveguides,[],[],[],[],[],"['c4058400-b35e-4611-96d2-635bb27c7af8', 'e8f82ef0-a0ca-44dd-97e8-1048a4d97e50']",6,[],1
0f0664e9-af1e-47b0-9f7f-9c8f9b9cce1c,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1
1d770baa-ab61-4e87-8fb6-375cd93481c0,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1
869f1e39-399d-485f-a0f7-2dab18561e7d,Mutations affecting the SAND domain of DEAF1 cause intellectual disability with severe speech impairment and behavioral problems,['0306'],['000335485700001'],['0306'],[],[],"['12bfd830-1ed4-4c81-a89f-102614391ac6', 'b27134c7-3168-4e1c-8b39-d3fa4bf90dd1', 'b4347804-61c5-4276-8c9b-fd95a28f4889', '4c814219-01a5-496d-9b71-7307705d3a9c']",36,[],1
8bf8307d-d584-435e-97d5-03e0f05b0339,Kinetic modelling in small animal imaging with PET,['0306'],['000267398800004'],['0306'],[],[],['88300587-3e99-4017-8d5b-7b3b38a490bd'],2,[],1
bb467961-4eb4-4568-ac08-1691a65a3de3,Photonic interconnect layer on CMOS by wafer scale integration,[],[],[],[],[],"['c4058400-b35e-4611-96d2-635bb27c7af8', '271524c4-0c41-4ecf-9f0d-fd16d8dbfce9', 'e8f82ef0-a0ca-44dd-97e8-1048a4d97e50']",15,[],1
792bcf7f-b0fd-4807-92d0-3f35a5a9d1c6,The Takeover Directive: A Commentary,['0505'],[],[],['c:vabb:272307'],['0505'],['8d991f4d-1e5d-46e7-befa-a009b746cbaa'],4,[],1
158f07ba-e0e1-470c-a048-019d1f955060,Influence of gut-brain signals on psychobiological processes in healthy humans,[],[],[],[],[],"['fede7773-9b66-4e8c-a94d-fb7ae5f541b8', '5c726ba8-6bc6-4beb-b095-eecb63c7e506', '97ce7110-e523-4733-85b7-46c00ad879a6']",3,[],1
69017956-c907-4d52-978d-7f8874b91aaf,A reliable and time-saving semiautomatic spike-template-based analysis of interictal EEG-fMRI,"['0306', '0306', '0302']",['000346975200025'],['0306'],['c:vabb:405852'],"['0306', '0302']","['39d4bffe-587f-46ec-a1b6-f18bea774769', '88300587-3e99-4017-8d5b-7b3b38a490bd', '4bcf109c-db6e-4e7f-a585-294b233df9b2', 'cbde424a-3cae-4916-bd96-fb73270626bd', 'f7064d30-7f08-4aaf-bd88-8675f490852c', 'aacc59e0-4550-4658-a1f3-6c186713bef6']",6,[],1
fc05fe52-e59f-4bf1-87f4-d8d358588952,Political Economy and International Law: Paradoxes and Potential,['0505'],[],[],['c:vabb:433717'],['0505'],['8d991f4d-1e5d-46e7-befa-a009b746cbaa'],3,[],1
00e2d2b4-536a-4e14-811e-58f26f694e6d,The Non-Diabetic BB-Rat: A Spontaneous Model for Impaired Gastric Accommodation,['0306'],['000322997203158'],['0306'],[],[],"['319a3648-eff9-4e1d-9a78-c9ec32d6e25e', '398eca56-f82e-4b02-aca1-63e5612c86e5', '279320c9-97ac-4696-a3b5-c10b07c5d896', '7bb736be-33b1-40d0-9580-e45bec7d1e94', '5c726ba8-6bc6-4beb-b095-eecb63c7e506', '5cab61e7-dfc2-4d8d-8e83-ccea18f5195e', '5bdd2542-da00-4d37-b2c5-751797bcab75', '97ce7110-e523-4733-85b7-46c00ad879a6']",12,[],1
00899595-9803-40a2-8b58-84d35f138cfb,Mood Disturbance and Irritable Bowel Syndrome (IBS): The Role of Behavioural Factors,['0306'],['000290167302613'],['0306'],[],[],['5c726ba8-6bc6-4beb-b095-eecb63c7e506'],3,[],1
1086b6db-b104-4e0b-aa04-f0fa880c6613,Towards an EU Industrial Policy for the Space Sector – Lessons from Galileo,['0299'],[],[],['c:vabb:405273'],['0299'],"['f578735d-8d68-46ce-8a5f-8b502325b334', '8d991f4d-1e5d-46e7-befa-a009b746cbaa']",4,[],1
d6d71dac-f51a-4704-9df9-f8e5a317b072,Towards a silicon dual polarization ring resonator sensor for multiplexed and label-free structural analysis of molecular interactions,[],[],[],[],[],"['5869cabf-438c-4e3f-a7cb-b5f96a7c9a1c', '271524c4-0c41-4ecf-9f0d-fd16d8dbfce9', 'c4058400-b35e-4611-96d2-635bb27c7af8', '5f1480f1-262e-496b-8ae2-13ed50922172']",7,[],1
32df72a3-bdce-408e-bd93-6c0055a8af91,Filling Global Governance Gaps in Cybersecurity: International and European Legal Perspectives,[],[],[],[],[],"['47c336e7-124c-49fc-b93c-cafd82518115', '8d991f4d-1e5d-46e7-befa-a009b746cbaa']",2,[],1
8eb60318-3f4f-445f-9226-a807c81bdd85,Fanconi-BRCA pathway mutations in childhood T-cell acute lymphoblastic leukemia,[],['000532720700004'],[],[],[],"['4c814219-01a5-496d-9b71-7307705d3a9c', 'b3660d11-f3f5-4a8e-98b8-0c40ef8fc862']",22,[],1
931cd913-7353-4359-b714-b24afc7b106f,The applicable standard,[],['000341118000008'],[],[],[],['8d991f4d-1e5d-46e7-befa-a009b746cbaa'],1,[],1
42e71ea6-12e0-4ca1-88dc-4263330d8d00,THE NEED FOR A COMPREHENSIVE ANTI-TERRORISM CONVENTION?,[],['000304069300006'],[],[],[],['8d991f4d-1e5d-46e7-befa-a009b746cbaa'],4,[],1
dc34da0a-8eed-4af7-8c58-a031c865fe97,III-V/silicon photonic integrated circuits for FTTH and on-chip optical interconnects,[],[],[],[],[],"['271524c4-0c41-4ecf-9f0d-fd16d8dbfce9', '5869cabf-438c-4e3f-a7cb-b5f96a7c9a1c', '7c930e92-f1d9-44ba-a4c4-98965ba8bb83', '44b2e75e-6287-4449-a657-a7b0b4cdb481', 'ee3fb9b2-ad0a-4e5d-b1ad-95169d034e0d', 'c7e6b063-2d9a-4b2e-a3eb-2672e8ce4fcb', '7b6bfe1c-42c7-47ca-a269-e9a1a0c066d0', 'c4058400-b35e-4611-96d2-635bb27c7af8', 'f08b609f-6b04-4736-8bcc-6484572306a3', 'e8f82ef0-a0ca-44dd-97e8-1048a4d97e50']",17,[],1
330e070d-4f48-436b-88d5-64af24e0cfcb,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1
ebf545a5-5267-4e08-aa64-3f1fb5c550d6,Nanoscale and single-dot patterning of colloidal quantum dots,"['/', '0104', '0104', '0103', '0103']",['000364725400046'],"['/', '0104', '0104', '0103', '0103']",[],[],"['299d8fa6-4f9b-4514-9428-3e863b273724', '87383b28-d0bd-45ff-8d72-96a744878641', '0005d02f-9247-4756-b967-0f2755adc540', 'c4058400-b35e-4611-96d2-635bb27c7af8']",8,[],1
2a9dafa9-128d-4413-a7a9-7c691192c626,Automated impedance manometry analysis as a method to assess esophageal function,"['0306', '0306', '0501', '0306', '0302']",['000334800300004'],"['0306', '0306', '0501']",['c:vabb:406901'],"['0306', '0302']","['087a59c9-adc6-4762-8b2b-c86a4ce43875', '5c726ba8-6bc6-4beb-b095-eecb63c7e506', '97ce7110-e523-4733-85b7-46c00ad879a6', 'd702f21f-352d-45e9-b908-d625298accc0']",4,[],1
a267d4f7-95a0-4d0d-8202-d8e2f395120c,Focused-ion-beam lithogtaphy for prototyping of silicon photonic components,[],[],[],[],[],"['11eb8c20-760d-48f0-9872-82da6b8fa718', '271524c4-0c41-4ecf-9f0d-fd16d8dbfce9', 'c4058400-b35e-4611-96d2-635bb27c7af8', 'e8f82ef0-a0ca-44dd-97e8-1048a4d97e50']",4,[],1
a161b66c-24bf-4e90-b8ec-b4842c9f7ab5,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,1
29cdefc4-d507-4b2f-bce6-34f6ab74ab3c,Advances in silicon photonics WDM devices,[],['000338072100013'],[],[],[],"['c4058400-b35e-4611-96d2-635bb27c7af8', '7b6bfe1c-42c7-47ca-a269-e9a1a0c066d0']",11,[],1
8a5c0dcb-ed9d-46f2-ba1b-130faff80e20,Role of interband and photoinduced absorption in the nonlinear refraction and absorption of resonantly excited PbS quantum dots around 1550 nm,"['0104', '0103', '0103']",['000301837700004'],"['0104', '0103', '0103']",[],[],"['962ef6a4-cf36-4ec9-9645-49d94ef92c68', 'c4058400-b35e-4611-96d2-635bb27c7af8', '0005d02f-9247-4756-b967-0f2755adc540']",8,[],1
