ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,Alias,when_added
44fe77c4-bc39-40ff-bdc0-7505d50f005d,ENVIROMICS environment toxicology and technology for a durable world Development and application of diagnostic instruments for industry and policy ,2015-01-01Z,2020-12-31Z,['01060499'],"['e39a6ed3-5624-458e-b504-2206a8e66502', 'fefe85ce-b233-4f5e-bb59-39db0329f52e', '6701bde3-f3be-44c5-9d48-471c87ea3db0', '6e29b98c-f702-4452-95b1-f242e0620b34', '07ec6495-eb00-4208-b091-f587a9bc1344', '39d19fc6-038c-4618-8b17-da802688bdb6', '47582bc0-c2d0-426a-9114-5c90b6603bda', '4f788022-78dd-41e2-b629-f7edc41cbc26', '784cf527-9506-452b-b369-370e73475e92', 'b66cbcd6-4c18-44e6-8d15-c19350644585']","['60be1df0-665a-4f41-bd02-305f1857541c', '82170d44-8df2-415f-a4f4-34e23819fd8e', '82170d44-8df2-415f-a4f4-34e23819fd8e', 'ea7088ec-0e8e-4b46-a134-d0a06cbbb9fe', '632e0796-61dd-4207-8259-f0a305abb591', '60be1df0-665a-4f41-bd02-305f1857541c', '2b9c7e71-73b3-4d90-873d-d1ed1cb000c2', 'f414cd4a-dd59-4663-94e6-573a84c78227', '6214b1dc-1d47-4bf7-a0bb-ba5898b0be01', '6214b1dc-1d47-4bf7-a0bb-ba5898b0be01', '148328f0-4b65-4086-a5dd-ee50ece26416', '2b9c7e71-73b3-4d90-873d-d1ed1cb000c2']",[],[],1
b3a5ef32-37a1-4a04-9115-3b6b81b62ad8,Optimal design of steel structures according to the Eurocodes using mixed integer linear programming methods,2013-09-03Z,2017-05-22Z,['020103'],"['352cf218-7673-40be-8adf-91d7fae84771', 'f2bde9ef-9bce-48e2-9f5d-8eec286915ac', '198a58aa-b071-4169-be1b-b0a49916b9b3']","['3f33b450-5fc3-482d-81fa-63251bdc9746', '308f48c7-94d0-4a90-a088-ec6903e270e3', '308f48c7-94d0-4a90-a088-ec6903e270e3']",[],[],1
5c4a102b-7afa-43af-ac60-addaa9b4ebd5,InSusChem Consortium for Integrated Sustainable Chemistry Antwerp ,2020-10-15Z,2026-12-31Z,"['01040701', '01040702', '01040703', '01040704', '01040705', '01040799', '02999999', '05020399']","['88b382f0-4eee-4827-9c1c-0e63515ede96', '6e29b98c-f702-4452-95b1-f242e0620b34', 'fddd208f-e0ab-4121-8ac6-42e59c69ed55', '66a8e1e7-3ab8-4868-b895-4507b1f74849', '25bd3313-e02c-48e4-9cae-2e73ec87563b', 'fed4c46f-78b6-416b-9daa-eb2e3f85d36b', '05a541ad-dee5-4a87-a803-32850fe4c25e', '06408f27-acf3-4673-a81a-5a91d3fd91b9', 'b1c8c770-54de-4497-aae7-34dea1e23138', '2395e7fc-e0c1-4648-b8e1-f13bf269375a', '40dfc880-b4cc-4eae-a7db-75e4604b9411', '1d8387bc-68af-4ffd-8a49-48ac41dc5e61', '3a7a7af0-2554-43a8-b622-fcbf2b555f19']","['e56efdd4-68b4-4da7-95dc-76aa6d84644c', 'ea7088ec-0e8e-4b46-a134-d0a06cbbb9fe', '632e0796-61dd-4207-8259-f0a305abb591', 'c03640b3-4e66-4fb5-87a9-a64ac4cdd230', '04093837-5f21-4794-bb55-2ab0c6f8d82a', 'bbc4d574-add9-4b95-9f47-f112886c7121', '04093837-5f21-4794-bb55-2ab0c6f8d82a', 'c03640b3-4e66-4fb5-87a9-a64ac4cdd230', '6b4e4914-5788-46ef-bf21-e0a50821e0e3', '632e0796-61dd-4207-8259-f0a305abb591', '618214c2-a5aa-4c22-a60b-5034f7280416', 'bbc4d574-add9-4b95-9f47-f112886c7121', 'e56efdd4-68b4-4da7-95dc-76aa6d84644c', '632e0796-61dd-4207-8259-f0a305abb591']",[],[],1
cd8bba9e-cd14-4443-8f5f-43e1f59930d1,Robust vibration serviceability design of structures subjected to human induced loading ,2013-10-01Z,2018-12-31Z,"['020103', '020104', '020105', '020106', '020112', '020113', '020307']","['df7f4188-16bc-4576-bc8c-2bd6f01081bb', 'e31375f8-d481-475a-95b6-b6dc8138ab60', '3eaee657-35a5-47f0-b9fe-06fdcc3d5c02', '352cf218-7673-40be-8adf-91d7fae84771']","['9a0c5f0d-15f5-4a2b-9127-49407963c10f', '3f33b450-5fc3-482d-81fa-63251bdc9746', '9a0c5f0d-15f5-4a2b-9127-49407963c10f', '3f33b450-5fc3-482d-81fa-63251bdc9746']",[],[],1
d1420564-aab4-4fdf-ad66-54a5ce257df1,Direct electron detector for soft matter TEM ,2016-05-01Z,2020-04-30Z,['020204'],"['cf7de48c-5fb6-4628-a529-d9263d3e61c7', '6e29b98c-f702-4452-95b1-f242e0620b34', 'fddd208f-e0ab-4121-8ac6-42e59c69ed55', '2395e7fc-e0c1-4648-b8e1-f13bf269375a']","['b3470804-966e-4c92-8f5e-436529787004', 'ea7088ec-0e8e-4b46-a134-d0a06cbbb9fe', '632e0796-61dd-4207-8259-f0a305abb591', 'c03640b3-4e66-4fb5-87a9-a64ac4cdd230', '618214c2-a5aa-4c22-a60b-5034f7280416']",[],[],1
2c27ec3f-e3b8-40e2-bccd-814061684a73,The sustainability of the Belgian government debt regional federal and European prospects BELDEBT ,2011-01-15Z,2014-07-13Z,"['050201', '050204', '050205', '050209', '050210']",['784fc58b-f661-4827-857c-5a03ede35aa2'],['2d6e4765-fb1b-48da-b941-9076730b0db3'],[],[],1
02788658-0e16-46f3-b9a3-4cdd63672619,Long term neurocognitive outcome of critically ill children after hospital discharge ,2015-02-01Z,2017-01-31Z,"['030101', '030115', '030201', '030215', '030501', '030502', '030504', '030506', '030507', '030508', '030509', '030510', '030599', '030601', '030615']","['d0bc7d00-f73d-4fbc-a1b2-44b2b8840f88', '4f788022-78dd-41e2-b629-f7edc41cbc26']","['e6849ce0-1777-45da-a2c7-feaad191bd0e', '6214b1dc-1d47-4bf7-a0bb-ba5898b0be01']",[],[],1
b2e81bd6-4260-4d09-b343-65fc3512f865,Development of an active passive sampling device for monitoring bioavailable pollutants in water ,2017-10-01Z,2018-09-30Z,"['010604', '010703', '010799', '030501', '030502', '030504', '030506', '030507', '030508', '030509', '030510', '030599']","['e39a6ed3-5624-458e-b504-2206a8e66502', '4f788022-78dd-41e2-b629-f7edc41cbc26', '2caa53ea-cff2-473f-b287-f348419894e1']","['60be1df0-665a-4f41-bd02-305f1857541c', '6214b1dc-1d47-4bf7-a0bb-ba5898b0be01', '60be1df0-665a-4f41-bd02-305f1857541c']",[],[],1
0d198527-20ad-4bc3-9d60-4143059fe7c1,Exposure modelling and effect assessment of organic pollutants in predatory birds Studying the interactions between exposure climate variability and feeding ecology using the white tailed eagle Haliaeetus albicilla as model species ,2012-10-01Z,2013-04-30Z,"['010601', '010606', '040201']","['c37bea42-d362-49c3-8363-3329a24fde2a', '4f788022-78dd-41e2-b629-f7edc41cbc26', 'a1f14d0e-6607-4755-a9fd-4ffd8930605f']","['6d6cecba-6b7c-4526-8d4e-ee3486804fce', '6214b1dc-1d47-4bf7-a0bb-ba5898b0be01', '6d6cecba-6b7c-4526-8d4e-ee3486804fce']",[],[],1
f888e4cd-068b-481c-80cd-625ebe6d7851,Valorisation of inorganic Ca Si and Fe containing waste streams and CO2 into sustainable building materials ,2017-02-01Z,2020-11-30Z,['010402'],"['fddd208f-e0ab-4121-8ac6-42e59c69ed55', '05a541ad-dee5-4a87-a803-32850fe4c25e']","['c03640b3-4e66-4fb5-87a9-a64ac4cdd230', 'c03640b3-4e66-4fb5-87a9-a64ac4cdd230']",[],[],1
