ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,Alias,when_added
d4a3e331-1506-4b9f-a64f-5bd31960d5b0,Use of the stable isotopic signals of amino sugars as tracers for soil organic mattertranslocations from critical land degradation ,2009-10-20Z,2012-11-16Z,"['010401', '030505']",['bdf09bca-071b-4682-be43-6c47560ecab3'],['17cf03fe-441e-444b-87f4-62214f211431'],[],[],1
c34886b3-4374-43bc-8eca-7cb268c5cb3e,Impact of hemi parasitic plants on plant community dynamics by direct changes in vegetation structure and indirect biogeochemical N feedback,2007-01-01Z,2012-12-30Z,"['010610', '010499', '040102']","['4d3026ac-1b74-48d1-b1a9-cede5c01b740', 'bdf09bca-071b-4682-be43-6c47560ecab3']","['2eee5360-0c18-4982-996e-a3298121a826', '17cf03fe-441e-444b-87f4-62214f211431']",[],[],1
0108315a-cbbd-4b18-b2b3-16376ad25a5b,Modeling Flight Performance of Nano Air Vehicles with Flapping Wings,2016-08-08Z,2020-08-08Z,"['020203', '020303', '020308', '020802']","['61e91b86-faa5-413d-96c8-396b4bff3b32', '4b74615b-d701-4448-a191-cb19436ee4cb', 'ecd40f52-5131-4a8d-b769-13233c2c456f']","['22358ad3-f0c0-4e35-88ca-7350f696036a', '22358ad3-f0c0-4e35-88ca-7350f696036a', '22358ad3-f0c0-4e35-88ca-7350f696036a']",[],[],1
f8ccf4d6-097a-4f2f-8184-b819f9d02e72,Liquid chromatograph interfaced with an isotope ratio mass spectrometry detector LC IRMS ,2016-05-01Z,2022-04-30Z,"['010402', '010499', '010405', '010408']",['bdf09bca-071b-4682-be43-6c47560ecab3'],"['17cf03fe-441e-444b-87f4-62214f211431', '6485da95-0569-4fb0-b180-9fb402bc3924']",[],[],1
03a735c6-8796-4edf-9feb-68b8bcd157dd,UGent Stable Isotope Facility,2017-02-01Z,2022-11-30Z,"['030116', '010499', '010699', '030505', '030208', '060105', '060101', '030216', '010604', '030108', '010799', '010401', '030608', '030616', '060199', '030504', '010502', '010703']",['bdf09bca-071b-4682-be43-6c47560ecab3'],"['17cf03fe-441e-444b-87f4-62214f211431', '6485da95-0569-4fb0-b180-9fb402bc3924']",[],[],1
ea910c5f-4bc4-4a98-b10f-4d68e51f1492,Integrated management of inter rows in rubber tree plantations via food crops cultivation,2010-10-01Z,2012-05-31Z,"['040101', '040199', '040102', '040103']",['bdf09bca-071b-4682-be43-6c47560ecab3'],['17cf03fe-441e-444b-87f4-62214f211431'],[],[],1
611c05a5-f80b-4062-9372-c59eec06ba71,Development of a platform for long term integrated forest ecosystem monitoring in DR Congo FORMONCO,2015-04-10Z,2016-12-31Z,"['010704', '040103']",['bdf09bca-071b-4682-be43-6c47560ecab3'],['17cf03fe-441e-444b-87f4-62214f211431'],[],[],1
5206e482-a400-48dc-a447-54439f20f2f0,Ecohydrological assessment of an old growth native evergreen forest and Eucalyptus nitens plantation covered catchments,2016-09-01Z,2017-12-31Z,"['010704', '010701', '010799', '040103', '010703', '010503', '010407', '010604', '010506']","['9de2f73a-8c53-4675-93c0-d75462689a83', 'e57435b7-64ec-4a30-bb41-90be6bcf6ea5', 'bdf09bca-071b-4682-be43-6c47560ecab3']","['2eee5360-0c18-4982-996e-a3298121a826', '2eee5360-0c18-4982-996e-a3298121a826', 'baf2328c-ac14-4990-8086-1126ac6cea11', '17cf03fe-441e-444b-87f4-62214f211431']",[],[],1
e2825d34-1d74-4c60-99de-9ace3ec61500,E guide towards optimized adhesive bond design in structural applications ,2014-10-01Z,2016-11-30Z,"['020502', '020504', '020507', '020599']","['b77892a1-4fa9-4af0-891a-e781d334d475', '4b74615b-d701-4448-a191-cb19436ee4cb', 'eda262c2-44da-4217-9ef1-96b8b8e304fb']","['f519f3cc-185b-4339-a9f0-52411f9ba244', '22358ad3-f0c0-4e35-88ca-7350f696036a', '257763e2-3661-4f91-ab09-d4d51ed8deb2']",[],[],1
bbeb7b99-7be9-4208-8cac-6960e042d426,Thermal Structural and Optical Design of Astronomical Spectroscopy Nanosatellites,2020-06-18Z,2024-06-18Z,"['02030104', '01030103']","['30299b90-68db-4f5a-bc7e-7c81a8762d85', '698bd18f-2634-4dff-92fe-57fa8510e919', '0b27918c-4a54-4c72-abc5-b360800a0b93']","['0f542fff-9f66-44e3-ae5c-44ee1bcc99fe', '0f542fff-9f66-44e3-ae5c-44ee1bcc99fe', '0f542fff-9f66-44e3-ae5c-44ee1bcc99fe']",[],[],1
1f800140-fa67-4ea9-85d5-b0b421ca9995,Unraveling the mode of action of the natural growth promoting phenylpropanoid cis cinnamic acid,2018-01-01Z,2019-12-31Z,[],"['67ed42c7-dfa2-4592-9c92-ceba5c0f3b3b', 'aa11e694-c748-4483-8320-fd7291b46758', '6c4f337a-6fac-41fc-9224-dc0ccbdeeebb']","['37e63935-be43-4a88-8f83-97da12647a08', '37e63935-be43-4a88-8f83-97da12647a08', '37e63935-be43-4a88-8f83-97da12647a08']",[],[],1
