ID,Profile,Profile count,Organisations,Organisations count,Projects,Projects count,Coauthors Projects,Coauthors Projects count,Publications,Publications count,Coauthors Publications,Coauthors Publications count
e011bd37-a5a1-46af-bf93-cf0a36b66ab5,"[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.1 0.  0.  0.  0.9 0.  0.  0.
 0.  0.  0.  0.  0.  0. ]","(1, 1)","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.5 0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0. ]","(1, 2)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.09090909 0.
 0.         0.09090909 0.81818182 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 1)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.08333333 0.         0.83333333 0.08333333 0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.375, 8)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(0.8333333333333334, 6.0)"
8834112c-33f1-4ee6-8a34-9c09a7b71535,"[0.   0.   0.   0.05 0.   0.25 0.   0.   0.   0.   0.   0.   0.   0.
 0.   0.   0.   0.25 0.2  0.   0.   0.   0.25 0.   0.   0.   0.   0.
 0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.   0.  ]","(1, 1)","[0.         0.         0.         0.33333333 0.         0.33333333
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.33333333
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 3)","[0.         0.00096712 0.         0.00151976 0.         0.33412793
 0.         0.0212766  0.         0.         0.         0.02659574
 0.01034019 0.09455226 0.03102058 0.00096712 0.         0.13782707
 0.12546177 0.00902643 0.         0.04614995 0.13782707 0.
 0.         0.02234043 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.9591836734693877, 49)","[0.02592593 0.01481481 0.         0.02066667 0.         0.25082974
 0.         0.         0.         0.01851852 0.         0.
 0.00277778 0.03645342 0.03248822 0.0037037  0.         0.16827876
 0.11633574 0.00138889 0.00595238 0.04145299 0.187595   0.00694444
 0.00555556 0.04380952 0.01650794 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 45)","[0.         0.         0.01904762 0.06666667 0.         0.1047619
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.00714286 0.79285714 0.
 0.         0.00952381 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.4034090909090904, 176)","[0.00081169 0.00550219 0.00505051 0.02326546 0.         0.19659562
 0.00047348 0.         0.00568182 0.00031566 0.00426136 0.00198864
 0.00620114 0.02310555 0.02858275 0.00225544 0.         0.19742172
 0.15057511 0.00950369 0.01597782 0.02682911 0.22957838 0.00808411
 0.02020878 0.02409361 0.00625    0.00284091 0.00113636 0.00113636
 0.00113636 0.         0.00113636 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.43110838946723823, 816.5)"
b73e0e47-ad11-4ce7-a065-2993e6c3b602,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(0.0, 1)","[0.         0.         0.03125    0.         0.32291667 0.03125
 0.03125    0.         0.22916667 0.         0.16666667 0.03125
 0.         0.         0.         0.         0.03125    0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.09375    0.         0.         0.03125    0.         0.        ]","(0.6666666666666667, 3)","[0.03571429 0.         0.         0.03571429 0.32142857 0.03571429
 0.19047619 0.         0.16666667 0.         0.16666667 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04761905 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 7)","[0.         0.         0.00694444 0.00529101 0.37314815 0.06679894
 0.01752646 0.00529101 0.25185185 0.         0.         0.03703704
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.125      0.         0.         0.         0.         0.11111111]","(0.8181818181818181, 11)","[0.         0.         0.         0.         0.01851852 0.
 0.05555556 0.         0.         0.05555556 0.         0.
 0.         0.         0.55555556 0.         0.18518519 0.
 0.         0.01851852 0.         0.         0.         0.
 0.         0.         0.         0.11111111 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.21176470588235352, 85)","[0.00344828 0.02413793 0.         0.00689655 0.04022989 0.
 0.55574713 0.         0.17701149 0.         0.         0.
 0.         0.00689655 0.         0.04310345 0.00344828 0.
 0.         0.         0.         0.         0.         0.
 0.13678161 0.         0.         0.         0.00229885 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.5942622950819673, 244.0)"
f19619e2-340d-47ef-9792-35d2436febc4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0.         0.         0.         0.         0.         0.01666667
 0.         0.01666667 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.10907828 0.
 0.         0.04217172 0.7394697  0.02083333 0.         0.05
 0.00511364 0.         0.         0.         0.         0.        ]","(1, 30)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.01764706 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.00097182 0.         0.         0.         0.
 0.00510204 0.         0.         0.         0.11018407 0.00765306
 0.08328474 0.04591837 0.51037415 0.07577888 0.         0.00120048
 0.04416536 0.00408163 0.06229349 0.01255887 0.01878598 0.        ]","(1, 49)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.02816901 0.         0.         0.
 0.         0.01408451 0.01408451 0.         0.         0.
 0.         0.         0.         0.         0.18192488 0.
 0.05516432 0.14084507 0.37910798 0.16197183 0.         0.02112676
 0.00352113 0.         0.         0.         0.         0.        ]","(0.35323383084577276, 201)","[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 5.68181818e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.99984808e-02 1.42045455e-03 6.35026738e-03 2.87433155e-02
 8.78571456e-01 1.50923295e-02 7.10227273e-04 6.03693182e-03
 5.16655526e-03 0.00000000e+00 3.34224599e-04 0.00000000e+00
 1.89393939e-03 0.00000000e+00]","(0.46808510638297873, 376.0)"
45230f30-5ba1-4ba1-a305-1307392c1cc1,"[0.         0.         0.         0.         0.41666667 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.58333333 0.         0.         0.         0.         0.        ]","(1, 1)","[0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.5 0.  0.  0.  0.  0. ]","(1, 2)","[0.         0.         0.         0.         0.13684211 0.03508772
 0.13333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.01754386 0.         0.         0.         0.         0.
 0.67719298 0.         0.         0.         0.         0.        ]","(1, 3)","[0.         0.         0.         0.         0.         0.1
 0.19166667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.075      0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.63333333 0.         0.         0.         0.         0.        ]","(1, 5)","[0.         0.         0.         0.         0.03076923 0.
 0.11153846 0.         0.         0.         0.         0.
 0.         0.         0.01923077 0.         0.22307692 0.
 0.         0.         0.         0.         0.         0.
 0.01923077 0.         0.         0.         0.         0.
 0.07051282 0.         0.         0.         0.         0.
 0.52564103 0.         0.         0.         0.         0.        ]","(0.2826086956521743, 46)","[0.03385417 0.         0.         0.         0.16062128 0.04899554
 0.07619048 0.         0.         0.         0.         0.
 0.         0.         0.00585938 0.         0.03385417 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.625      0.         0.         0.         0.015625   0.        ]","(0.5470085470085471, 117.0)"
3de615bf-4167-4fa5-a4d3-0dac8248798a,"[0.  0.  0.  0.  0.  0.  0.  0.  0.4 0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.6 0.  0. ]","(1, 1)","[0.  0.  0.  0.  0.  0.  0.  0.  0.6 0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.4 0.  0. ]","(1, 3)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.55714286 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.04166667 0.
 0.12916667 0.         0.03333333 0.03472222 0.         0.
 0.         0.         0.         0.20396825 0.         0.        ]","(1, 12)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.55604396 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.04615385 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.07692308 0.         0.         0.         0.         0.
 0.04615385 0.         0.         0.27472527 0.         0.        ]","(0.8666666666666667, 15)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.05263158 0.07894737
 0.05263158 0.         0.05263158 0.10526316 0.         0.
 0.         0.         0.         0.65789474 0.         0.        ]","(0.3653846153846153, 52)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.57815126 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.05882353 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.05882353 0.         0.         0.30420168 0.         0.        ]","(0.3090909090909091, 110.0)"
05e00835-520a-4d3b-8e53-fbe03c1e43c7,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.20833333 0.         0.         0.         0.125
 0.         0.         0.04166667 0.         0.625      0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 2)","[0.         0.         0.01538462 0.         0.         0.1025641
 0.         0.         0.         0.01282051 0.         0.
 0.04615385 0.19230769 0.         0.         0.01538462 0.32051282
 0.         0.00641026 0.02564103 0.         0.25641026 0.00641026
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 13)","[0.         0.         0.02536232 0.01337793 0.         0.29710145
 0.         0.         0.         0.02173913 0.         0.
 0.01086957 0.05156076 0.         0.         0.         0.13043478
 0.01449275 0.00362319 0.01755853 0.         0.37681159 0.00362319
 0.03344482 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 23)","[0.         0.         0.         0.06666667 0.         0.
 0.         0.         0.         0.         0.         0.
 0.06666667 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.86666667 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.2499999999999999, 20)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(0.019230769230769232, 52.0)"
acb40a5f-ab6c-4759-90b2-7f2bc628d4a4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]","(1, 1)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]","(1, 1)","[0.         0.         0.         0.         0.10696481 0.03859649
 0.02833333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.00833333 0.         0.         0.         0.         0.
 0.01390609 0.         0.         0.         0.         0.
 0.80386595 0.         0.         0.         0.         0.        ]","(0.9523809523809523, 21)","[0.00714286 0.         0.         0.003125   0.28409091 0.08333333
 0.10029762 0.         0.         0.         0.         0.
 0.00833333 0.         0.         0.         0.02987013 0.0125
 0.009375   0.         0.         0.         0.0125     0.
 0.01875    0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.36704545 0.05       0.         0.00227273 0.01136364 0.        ]","(1, 20)","[0.         0.00277778 0.         0.0037037  0.01       0.05277778
 0.08555556 0.         0.         0.00277778 0.         0.
 0.         0.         0.00965608 0.         0.21780423 0.
 0.         0.00277778 0.         0.         0.         0.
 0.00555556 0.         0.         0.00277778 0.         0.
 0.07592593 0.         0.         0.00648148 0.         0.
 0.51865079 0.         0.00277778 0.         0.         0.        ]","(0.33210332103321194, 271)","[0.02116402 0.         0.         0.01606198 0.25360014 0.06795163
 0.07345172 0.         0.         0.         0.         0.
 0.00302343 0.         0.00056689 0.         0.0397169  0.01295756
 0.01295756 0.         0.00647878 0.         0.01295756 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.45442916 0.00127551 0.         0.00804751 0.01535964 0.        ]","(0.5021825773391535, 878.1666666666667)"
d86af692-304d-42dd-bb1f-86d0113be027,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.41666667
 0.         0.         0.5        0.         0.08333333 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(1, 3)","[0.         0.         0.         0.         0.         0.08571429
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.04170068 0.         0.04       0.         0.45717687 0.
 0.         0.         0.         0.37540816 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]","(0.5223880597014928, 67)","[4.47096974e-02 5.63617517e-03 4.67826349e-03 0.00000000e+00
 0.00000000e+00 1.22369065e-04 0.00000000e+00 3.38868180e-04
 5.13950073e-03 9.87950246e-03 1.06892977e-03 0.00000000e+00
 0.00000000e+00 9.34503757e-03 0.00000000e+00 1.00018715e-02
 0.00000000e+00 2.69699763e-01 9.60597161e-03 2.44738130e-04
 3.44285365e-01 5.26186980e-03 4.20933023e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.42128449e-02
 0.00000000e+00 2.23212216e-01 4.63714352e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","(0.5505254648342766, 412.3333333333333)"
e739bf7a-76c2-4e6e-8b6e-4dcf863be95f,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]","(1, 1)","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.04761905 0.85714286 0.
 0.         0.         0.         0.04761905 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.04761905
 0.         0.         0.         0.         0.         0.        ]","(1, 3)","[0.         0.08333333 0.         0.         0.         0.03571429
 0.         0.         0.08928571 0.0920068  0.40731293 0.03392857
 0.08571429 0.02142857 0.01785714 0.03545918 0.02142857 0.01785714
 0.         0.         0.01785714 0.         0.01785714 0.
 0.         0.         0.         0.         0.00892857 0.
 0.         0.         0.         0.         0.         0.01403061
 0.         0.         0.         0.         0.         0.        ]","(1, 28)","[0.01214336 0.12751196 0.00243665 0.         0.         0.02680312
 0.         0.         0.00877193 0.10227842 0.31066302 0.
 0.13684211 0.00511696 0.         0.024088   0.05614035 0.03934623
 0.01559454 0.00536062 0.04434698 0.01263308 0.05250412 0.00438596
 0.         0.         0.         0.01052632 0.         0.
 0.         0.         0.         0.         0.         0.00250627
 0.         0.         0.         0.         0.         0.        ]","(0.9827586206896551, 58)","[0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.
 0.  0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
 0.  0.  0.  0.  0.  0. ]","(0.04651162790697616, 43)","[0.01170838 0.05427307 0.         0.00449438 0.         0.
 0.         0.         0.03370787 0.06031057 0.40791746 0.
 0.08988764 0.01147004 0.         0.01718834 0.19662921 0.01123596
 0.00749064 0.         0.03370787 0.02921348 0.02434457 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.00642055
 0.         0.         0.         0.         0.         0.        ]","(0.5426829268292683, 164.0)"
