ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,when_added
e388f174-248a-4270-9dc6-e8b9f3768750,Network of excellence in wireless communications (NEWCOM&#43;&#43;),2008-01-01Z,2011-04-30Z,"['020601', '020205', '020201', '020202', '020804']",['35b06a48-c9ee-455d-bf85-0eb235415cf2'],['f2406cda-0683-427d-8217-e1071d3a5e3c'],[],1
256cc48b-b998-4b1e-a2f5-f66078cffd40,Cooperative communication systems with iterative estimation and detection,2008-10-01Z,2012-09-30Z,"['020202', '020804', '020205', '020201', '020601']",['35b06a48-c9ee-455d-bf85-0eb235415cf2'],['f2406cda-0683-427d-8217-e1071d3a5e3c'],[],1
de038153-3209-4150-9c59-0fbf950f5d09,Iterative (turbo) estimation and detection in the context of mobile digital communication between multiple users across channels with multiple inputs and outputs.,2007-10-01Z,2008-09-30Z,"['010699', '019999']","['562b4037-0391-4f72-a64f-914302726655', '35b06a48-c9ee-455d-bf85-0eb235415cf2']","['f2406cda-0683-427d-8217-e1071d3a5e3c', 'f2406cda-0683-427d-8217-e1071d3a5e3c']",[],1
88f52dcc-33cd-4375-8de8-366f6c2438dd,Digital Access over Short Subscriber Loops (DASSL),2012-02-01Z,2014-01-31Z,"['020201', '020202', '020601', '020804', '020205']",['35b06a48-c9ee-455d-bf85-0eb235415cf2'],['f2406cda-0683-427d-8217-e1071d3a5e3c'],[],1
96613b06-1c1a-4990-91fc-485ae3585b08,A Reflection on Light as an Artistic Medium,2013-12-31Z,2019-12-04Z,"['060201', '060203', '060204', '060205', '060206', '060299']","['01e1efb5-4056-47af-b1de-56a6cb4d6d11', 'dd10d247-d87d-4d59-8452-792f0a7a8240', 'c23652ca-c61b-45b1-b6b4-60093add3cf3']","['2393a565-bab5-4281-94b0-01c7b529db6c', 'a8412d2b-048d-4a38-bc51-28700d5e6607', '2393a565-bab5-4281-94b0-01c7b529db6c']",['49fd2583-bba8-48e3-a94a-e58b51d7caeb'],1
a8ea6f4a-4a6d-486e-b110-7224f5957d86,"Advanced signal processing techniques for estimation and detection in digital communication, with application to ultra-wideband (UWB) transmission",2007-10-01Z,2010-09-30Z,"['020201', '020202']","['e1aee6c9-11b7-47e6-a204-6709f32b67f1', '35b06a48-c9ee-455d-bf85-0eb235415cf2']","['f2406cda-0683-427d-8217-e1071d3a5e3c', 'f2406cda-0683-427d-8217-e1071d3a5e3c']",[],1
10669d66-44ae-4d74-b692-b86b46c64229,Advanced Receiver Algorithms for Digital Communication over Realistic Time-Varying Wireless Multipath Fading for Mobile Applications,2010-10-01Z,2017-09-30Z,"['020202', '020201']","['35b06a48-c9ee-455d-bf85-0eb235415cf2', '5e949071-d07b-4ca6-86fa-e42095315747']","['f2406cda-0683-427d-8217-e1071d3a5e3c', 'f2406cda-0683-427d-8217-e1071d3a5e3c']",[],1
442c499c-9c8b-44a8-93d3-822159a6eba5,Wireless high-bitrate communications based on inaccurate and incomplete channel state information,2011-10-01Z,2015-09-30Z,"['020202', '020201']","['35b06a48-c9ee-455d-bf85-0eb235415cf2', '673c9555-7c48-41ea-a936-e7011fcafeab']","['f2406cda-0683-427d-8217-e1071d3a5e3c', 'f2406cda-0683-427d-8217-e1071d3a5e3c']",[],1
b42eb436-75d7-4d0b-8986-a1dffdaa7529,Pioneering Practices. Re-reading Flanders’ architecture of the 1960s and ‘70s.,2020-10-01Z,2024-10-01Z,"['06040304', '06040201']","['9655f3ed-ca81-44c1-9a04-57221d498220', '43c66a4f-8c7b-409c-b90c-b53ff517b21b']","['f2db002f-fde6-4c4f-b88b-8fea1b878d0f', 'f2db002f-fde6-4c4f-b88b-8fea1b878d0f']",[],1
8cab685f-520c-445d-9ba1-8bda3957bfcb,Advanced MIMO signal processing for robust high-speed electrical and RF chip-to-chip communication,2015-10-01Z,2019-09-30Z,"['020804', '020202', '020201', '020601', '020205']","['35b06a48-c9ee-455d-bf85-0eb235415cf2', 'd7c9e0d3-26de-42bd-b7d7-7a22e6476c16']","['f2406cda-0683-427d-8217-e1071d3a5e3c', 'f2406cda-0683-427d-8217-e1071d3a5e3c']",[],1
