,0101,0102,0103,0104,0105,0106,0107,0199,0201,0202,0203,0204,0205,0206,0207,0208,0299,0301,0302,0303,0304,0305,0306,0399,0401,0402,0499,0501,0502,0503,0504,0505,0506,0507,0508,0599,0601,0602,0603,0604,0699,0700
0101,0.000,0.269,0.263,0.627,0.558,0.584,0.473,1.000,0.495,0.414,0.402,0.761,0.575,0.661,0.732,0.388,0.502,0.519,0.669,0.457,1.000,0.672,0.562,1.000,0.683,0.677,1.000,0.639,0.394,0.655,0.766,0.629,1.000,0.666,0.720,0.607,0.658,0.759,0.666,0.740,1.000,1.000
0102,0.269,0.000,0.443,0.645,0.462,0.425,0.445,0.579,0.505,0.279,0.362,0.509,0.649,0.366,0.643,0.281,0.414,0.425,0.466,0.444,0.519,0.667,0.493,1.000,0.463,1.000,1.000,0.405,0.378,0.542,0.616,0.587,0.648,0.710,0.504,1.000,0.588,0.475,0.572,0.484,0.635,1.000
0103,0.263,0.443,0.000,0.271,0.447,0.535,0.636,1.000,0.784,0.305,0.431,0.471,0.348,0.489,0.618,0.428,0.589,0.516,0.565,1.000,0.634,0.691,0.582,1.000,1.000,1.000,1.000,0.708,0.802,0.756,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.766,1.000,1.000,1.000
0104,0.627,0.645,0.271,0.000,0.496,0.360,0.399,1.000,0.642,0.323,0.421,0.213,0.238,0.544,0.374,0.604,0.611,0.455,0.535,0.802,0.568,0.301,0.524,1.000,0.400,0.544,0.640,0.805,0.820,0.776,0.802,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.784,0.611,1.000,1.000
0105,0.558,0.462,0.447,0.496,0.000,0.303,0.204,0.504,0.355,0.574,0.489,0.566,0.576,1.000,0.480,0.481,0.358,0.744,1.000,1.000,1.000,1.000,1.000,1.000,0.365,1.000,1.000,0.746,0.681,1.000,0.519,0.602,0.712,0.640,0.695,1.000,0.399,0.735,1.000,1.000,1.000,1.000
0106,0.584,0.425,0.535,0.360,0.303,0.000,0.238,0.460,0.599,0.487,0.588,0.437,0.544,0.361,0.257,0.514,0.769,0.208,0.333,0.438,0.530,0.346,0.308,1.000,0.270,0.408,0.460,0.672,0.770,0.799,0.668,0.744,0.797,1.000,0.703,1.000,0.523,1.000,0.620,0.800,1.000,1.000
0107,0.473,0.445,0.636,0.399,0.204,0.238,0.000,0.381,0.370,0.552,0.571,0.397,0.454,1.000,0.372,0.449,0.404,0.594,0.627,0.440,0.659,0.666,0.712,1.000,0.271,0.671,0.592,0.764,0.473,0.561,0.439,0.673,0.596,0.482,0.630,1.000,0.511,1.000,1.000,0.650,1.000,1.000
0199,1.000,0.579,1.000,1.000,0.504,0.460,0.381,0.000,1.000,1.000,1.000,0.540,1.000,1.000,0.416,0.508,0.332,1.000,1.000,1.000,1.000,1.000,0.581,1.000,0.544,1.000,0.362,0.550,1.000,0.423,0.546,1.000,1.000,1.000,0.348,0.372,1.000,1.000,1.000,1.000,0.354,1.000
0201,0.495,0.505,0.784,0.642,0.355,0.599,0.370,1.000,0.000,0.474,0.348,0.489,0.326,0.757,0.432,0.433,0.304,0.780,1.000,0.650,0.760,1.000,0.807,1.000,0.522,1.000,1.000,0.617,0.449,0.669,0.374,0.693,0.426,0.290,0.650,0.480,0.454,1.000,0.761,0.302,1.000,1.000
0202,0.414,0.279,0.305,0.323,0.574,0.487,0.552,1.000,0.474,0.000,0.312,0.416,0.312,0.290,0.443,0.248,0.412,0.421,0.492,0.644,0.550,0.525,0.470,1.000,0.500,0.635,0.642,0.543,0.614,1.000,0.727,0.798,1.000,1.000,0.679,0.651,0.780,0.797,1.000,0.613,1.000,1.000
0203,0.402,0.362,0.431,0.421,0.489,0.588,0.571,1.000,0.348,0.312,0.000,0.380,0.266,0.377,0.553,0.429,0.347,0.540,0.626,1.000,0.598,0.642,0.602,1.000,0.499,0.611,1.000,1.000,0.538,1.000,0.705,1.000,1.000,1.000,0.739,1.000,0.678,1.000,1.000,0.758,0.610,1.000
0204,0.761,0.509,0.471,0.213,0.566,0.437,0.397,0.540,0.489,0.416,0.380,0.000,0.221,0.418,0.249,0.570,0.448,0.519,0.641,1.000,0.672,0.629,0.589,1.000,0.382,1.000,0.463,0.776,0.629,0.663,0.773,1.000,1.000,1.000,0.727,1.000,1.000,1.000,1.000,0.747,1.000,1.000
0205,0.575,0.649,0.348,0.238,0.576,0.544,0.454,1.000,0.326,0.312,0.266,0.221,0.000,0.357,0.425,0.580,0.385,0.482,0.522,1.000,0.682,0.531,0.580,1.000,0.586,1.000,1.000,1.000,0.611,1.000,0.781,0.776,1.000,1.000,1.000,1.000,0.676,1.000,1.000,0.756,1.000,1.000
0206,0.661,0.366,0.489,0.544,1.000,0.361,1.000,1.000,0.757,0.290,0.377,0.418,0.357,0.000,0.344,0.345,0.520,0.276,0.378,0.536,0.369,0.376,0.342,1.000,0.622,0.579,1.000,0.539,0.776,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0207,0.732,0.643,0.618,0.374,0.480,0.257,0.372,0.416,0.432,0.443,0.553,0.249,0.425,0.344,0.000,0.537,0.399,0.470,0.775,0.612,1.000,0.488,0.645,1.000,0.298,0.513,0.573,0.666,0.634,0.631,0.522,0.739,0.629,0.642,0.612,1.000,1.000,1.000,0.591,0.717,1.000,1.000
0208,0.388,0.281,0.428,0.604,0.481,0.514,0.449,0.508,0.433,0.248,0.429,0.570,0.580,0.345,0.537,0.000,0.416,0.472,0.506,0.576,0.501,0.599,0.521,1.000,0.483,1.000,0.484,0.616,0.570,0.717,0.612,0.606,1.000,1.000,0.524,1.000,0.636,1.000,0.727,0.634,0.566,1.000
0299,0.502,0.414,0.589,0.611,0.358,0.769,0.404,0.332,0.304,0.412,0.347,0.448,0.385,0.520,0.399,0.416,0.000,1.000,0.750,0.583,0.523,1.000,0.667,0.560,0.422,1.000,0.544,0.496,0.495,0.551,0.718,0.627,0.687,0.524,0.583,0.409,0.554,1.000,1.000,0.690,0.536,1.000
0301,0.519,0.425,0.516,0.455,0.744,0.208,0.594,1.000,0.780,0.421,0.540,0.519,0.482,0.276,0.470,0.472,1.000,0.000,0.169,0.363,0.308,0.272,0.165,0.449,0.597,0.377,0.524,0.390,0.754,0.752,0.779,0.773,1.000,1.000,0.734,1.000,0.828,0.773,0.680,1.000,1.000,1.000
0302,0.669,0.466,0.565,0.535,1.000,0.333,0.627,1.000,1.000,0.492,0.626,0.641,0.522,0.378,0.775,0.506,0.750,0.169,0.000,0.298,0.246,0.305,0.154,0.362,0.680,0.376,0.467,0.443,0.824,0.781,0.730,0.801,1.000,1.000,0.683,1.000,1.000,0.800,0.575,0.782,1.000,1.000
0303,0.457,0.444,1.000,0.802,1.000,0.438,0.440,1.000,0.650,0.644,1.000,1.000,1.000,0.536,0.612,0.576,0.583,0.363,0.298,0.000,0.315,0.383,0.341,0.327,0.611,0.486,1.000,0.429,0.465,0.492,0.364,0.464,0.617,1.000,0.650,0.622,0.556,0.577,0.474,0.620,1.000,1.000
0304,1.000,0.519,0.634,0.568,1.000,0.530,0.659,1.000,0.760,0.550,0.598,0.672,0.682,0.369,1.000,0.501,0.523,0.308,0.246,0.315,0.000,0.549,0.277,0.318,0.484,0.530,0.447,0.384,0.700,0.560,0.591,0.754,0.730,0.659,0.577,1.000,1.000,0.671,0.741,0.733,0.582,1.000
0305,0.672,0.667,0.691,0.301,1.000,0.346,0.666,1.000,1.000,0.525,0.642,0.629,0.531,0.376,0.488,0.599,1.000,0.272,0.305,0.383,0.549,0.000,0.275,0.613,0.544,0.427,1.000,0.689,0.707,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.748,1.000,1.000,1.000
0306,0.562,0.493,0.582,0.524,1.000,0.308,0.712,0.581,0.807,0.470,0.602,0.589,0.580,0.342,0.645,0.521,0.667,0.165,0.154,0.341,0.277,0.275,0.000,0.362,0.680,0.443,0.467,0.398,0.824,0.701,0.730,0.801,1.000,1.000,0.763,0.655,1.000,1.000,0.662,1.000,0.637,1.000
0399,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.560,0.449,0.362,0.327,0.318,0.613,0.362,0.000,1.000,1.000,1.000,0.631,1.000,0.596,1.000,0.620,0.594,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0401,0.683,0.463,1.000,0.400,0.365,0.270,0.271,0.544,0.522,0.500,0.499,0.382,0.586,0.622,0.298,0.483,0.422,0.597,0.680,0.611,0.484,0.544,0.680,1.000,0.000,0.347,0.429,1.000,0.462,0.666,0.558,0.640,0.577,0.538,0.731,1.000,0.582,1.000,1.000,0.750,0.601,1.000
0402,0.677,1.000,1.000,0.544,1.000,0.408,0.671,1.000,1.000,0.635,0.611,1.000,1.000,0.579,0.513,1.000,1.000,0.377,0.376,0.486,0.530,0.427,0.443,1.000,0.347,0.000,0.301,1.000,1.000,1.000,1.000,0.684,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
0499,1.000,1.000,1.000,0.640,1.000,0.460,0.592,0.362,1.000,0.642,1.000,0.463,1.000,1.000,0.573,0.484,0.544,0.524,0.467,1.000,0.447,1.000,0.467,1.000,0.429,0.301,0.000,1.000,1.000,0.580,1.000,1.000,1.000,1.000,0.560,1.000,1.000,1.000,1.000,1.000,0.422,1.000
0501,0.639,0.405,0.708,0.805,0.746,0.672,0.764,0.550,0.617,0.543,1.000,0.776,1.000,0.539,0.666,0.616,0.496,0.390,0.443,0.429,0.384,0.689,0.398,0.631,1.000,1.000,1.000,0.000,0.372,0.325,0.372,0.447,0.531,1.000,0.335,0.483,0.757,0.456,0.491,0.558,1.000,1.000
0502,0.394,0.378,0.802,0.820,0.681,0.770,0.473,1.000,0.449,0.614,0.538,0.629,0.611,0.776,0.634,0.570,0.495,0.754,0.824,0.465,0.700,0.707,0.824,1.000,0.462,1.000,1.000,0.372,0.000,0.499,0.328,0.366,0.342,0.381,0.441,1.000,0.555,0.599,0.543,0.605,1.000,0.606
0503,0.655,0.542,0.756,0.776,1.000,0.799,0.561,0.423,0.669,1.000,1.000,0.663,1.000,1.000,0.631,0.717,0.551,0.752,0.781,0.492,0.560,1.000,0.701,0.596,0.666,1.000,0.580,0.325,0.499,0.000,0.335,0.546,0.474,0.470,0.423,0.500,0.524,0.362,0.488,0.478,1.000,1.000
0504,0.766,0.616,1.000,0.802,0.519,0.668,0.439,0.546,0.374,0.727,0.705,0.773,0.781,1.000,0.522,0.612,0.718,0.779,0.730,0.364,0.591,1.000,0.730,1.000,0.558,1.000,1.000,0.372,0.328,0.335,0.000,0.366,0.203,0.254,0.337,0.441,0.411,0.416,0.403,0.342,0.461,1.000
0505,0.629,0.587,1.000,1.000,0.602,0.744,0.673,1.000,0.693,0.798,1.000,1.000,0.776,1.000,0.739,0.606,0.627,0.773,0.801,0.464,0.754,1.000,0.801,0.620,0.640,0.684,1.000,0.447,0.366,0.546,0.366,0.000,0.303,0.389,0.448,1.000,0.434,0.493,0.368,0.576,0.597,1.000
0506,1.000,0.648,1.000,1.000,0.712,0.797,0.596,1.000,0.426,1.000,1.000,1.000,1.000,1.000,0.629,1.000,0.687,1.000,1.000,0.617,0.730,1.000,1.000,0.594,0.577,1.000,1.000,0.531,0.342,0.474,0.203,0.303,0.000,0.312,0.321,0.444,0.498,0.543,0.452,0.496,0.570,1.000
0507,0.666,0.710,1.000,1.000,0.640,1.000,0.482,1.000,0.290,1.000,1.000,1.000,1.000,1.000,0.642,1.000,0.524,1.000,1.000,1.000,0.659,1.000,1.000,1.000,0.538,1.000,1.000,1.000,0.381,0.470,0.254,0.389,0.312,0.000,0.488,0.511,0.444,0.672,0.659,0.509,1.000,1.000
0508,0.720,0.504,1.000,1.000,0.695,0.703,0.630,0.348,0.650,0.679,0.739,0.727,1.000,1.000,0.612,0.524,0.583,0.734,0.683,0.650,0.577,1.000,0.763,1.000,0.731,1.000,0.560,0.335,0.441,0.423,0.337,0.448,0.321,0.488,0.000,1.000,0.532,0.329,0.511,0.348,0.461,1.000
0599,0.607,1.000,1.000,1.000,1.000,1.000,1.000,0.372,0.480,0.651,1.000,1.000,1.000,1.000,1.000,1.000,0.409,1.000,1.000,0.622,1.000,1.000,0.655,1.000,1.000,1.000,1.000,0.483,1.000,0.500,0.441,1.000,0.444,0.511,1.000,0.000,1.000,0.524,0.511,0.448,0.431,1.000
0601,0.658,0.588,1.000,1.000,0.399,0.523,0.511,1.000,0.454,0.780,0.678,1.000,0.676,1.000,1.000,0.636,0.554,0.828,1.000,0.556,1.000,1.000,1.000,1.000,0.582,1.000,1.000,0.757,0.555,0.524,0.411,0.434,0.498,0.444,0.532,1.000,0.000,0.251,0.281,0.279,0.319,1.000
0602,0.759,0.475,1.000,1.000,0.735,1.000,1.000,1.000,1.000,0.797,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.773,0.800,0.577,0.671,1.000,1.000,1.000,1.000,1.000,1.000,0.456,0.599,0.362,0.416,0.493,0.543,0.672,0.329,0.524,0.251,0.000,0.265,0.378,0.453,1.000
0603,0.666,0.572,0.766,0.784,1.000,0.620,1.000,1.000,0.761,1.000,1.000,1.000,1.000,1.000,0.591,0.727,1.000,0.680,0.575,0.474,0.741,0.748,0.662,1.000,1.000,1.000,1.000,0.491,0.543,0.488,0.403,0.368,0.452,0.659,0.511,0.511,0.281,0.265,0.000,0.397,0.439,1.000
0604,0.740,0.484,1.000,0.611,1.000,0.800,0.650,1.000,0.302,0.613,0.758,0.747,0.756,1.000,0.717,0.634,0.690,1.000,0.782,0.620,0.733,1.000,1.000,1.000,0.750,1.000,1.000,0.558,0.605,0.478,0.342,0.576,0.496,0.509,0.348,0.448,0.279,0.378,0.397,0.000,0.362,1.000
0699,1.000,0.635,1.000,1.000,1.000,1.000,1.000,0.354,1.000,1.000,0.610,1.000,1.000,1.000,1.000,0.566,0.536,1.000,1.000,1.000,0.582,1.000,0.637,1.000,0.601,1.000,0.422,1.000,1.000,1.000,0.461,0.597,0.570,1.000,0.461,0.431,0.319,0.453,0.439,0.362,0.000,1.000
0700,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.606,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.000
