,0101,0102,0103,0104,0105,0106,0107,0199,0201,0202,0203,0204,0205,0206,0207,0208,0299,0301,0302,0303,0304,0305,0306,0399,0401,0402,0499,0501,0502,0503,0504,0505,0506,0507,0508,0599,0601,0602,0603,0604,0699,0700
0101,0.000,0.153,0.211,0.512,0.376,0.527,0.390,0.647,0.523,0.317,0.351,0.576,0.439,0.395,0.705,0.304,0.372,0.522,0.523,0.497,0.686,0.706,0.525,0.859,0.640,0.760,0.792,0.435,0.385,0.436,0.658,0.667,0.695,0.649,0.616,0.728,0.605,0.711,0.598,0.676,0.711,1.000
0102,0.153,0.000,0.448,0.641,0.454,0.334,0.454,0.643,0.557,0.285,0.357,0.531,0.451,0.304,0.419,0.182,0.473,0.355,0.363,0.300,0.587,0.603,0.362,0.709,0.508,0.646,0.788,0.344,0.417,0.588,0.653,0.631,0.725,0.694,0.394,0.723,0.629,0.488,0.605,0.547,0.706,1.000
0103,0.211,0.448,0.000,0.278,0.429,0.534,0.541,0.599,0.681,0.341,0.430,0.422,0.333,0.474,0.666,0.432,0.497,0.509,0.504,1.000,0.634,0.412,0.527,1.000,0.877,0.823,1.000,0.684,0.790,0.470,1.000,1.000,1.000,1.000,0.755,1.000,0.854,1.000,0.684,0.791,0.778,1.000
0104,0.512,0.641,0.278,0.000,0.449,0.310,0.354,0.792,0.691,0.418,0.459,0.211,0.261,0.335,0.334,0.573,0.522,0.359,0.405,0.585,0.293,0.243,0.358,0.731,0.250,0.506,0.559,0.752,0.722,0.697,0.830,0.885,0.858,1.000,1.000,0.662,0.652,1.000,0.814,0.619,1.000,1.000
0105,0.376,0.454,0.429,0.449,0.000,0.278,0.123,0.557,0.336,0.388,0.526,0.552,0.607,0.599,0.525,0.484,0.210,0.573,0.539,0.714,0.691,0.612,0.563,1.000,0.308,0.464,1.000,0.746,0.673,0.759,0.622,0.718,0.804,0.558,0.796,0.677,0.436,0.839,1.000,0.444,1.000,1.000
0106,0.527,0.334,0.534,0.310,0.278,0.000,0.199,0.239,0.512,0.456,0.579,0.427,0.327,0.270,0.222,0.316,0.435,0.137,0.182,0.289,0.346,0.360,0.141,0.453,0.223,0.204,0.255,0.466,0.662,0.688,0.677,0.762,0.885,0.753,0.774,0.601,0.553,0.857,0.657,0.532,0.836,1.000
0107,0.390,0.454,0.541,0.354,0.123,0.199,0.000,0.529,0.377,0.460,0.639,0.411,0.543,0.640,0.418,0.525,0.254,0.507,0.479,0.518,0.740,0.515,0.506,1.000,0.219,0.408,0.600,0.709,0.510,0.615,0.525,0.740,0.702,0.530,0.740,0.780,0.515,0.856,0.845,0.431,0.764,1.000
0199,0.647,0.643,0.599,0.792,0.557,0.239,0.529,0.000,0.758,0.658,0.768,0.749,0.644,0.753,0.523,0.612,0.517,0.646,0.619,0.701,0.784,0.617,0.595,1.000,0.768,1.000,0.649,0.699,0.708,0.664,0.759,0.752,1.000,1.000,0.568,0.664,0.653,0.755,0.741,1.000,0.557,1.000
0201,0.523,0.557,0.681,0.691,0.336,0.512,0.377,0.758,0.000,0.424,0.332,0.495,0.371,0.689,0.501,0.533,0.331,0.754,0.773,0.718,0.883,0.790,0.759,1.000,0.461,1.000,1.000,0.716,0.453,0.682,0.429,0.614,0.515,0.336,0.665,0.551,0.455,0.795,0.653,0.152,0.576,1.000
0202,0.317,0.285,0.341,0.418,0.388,0.456,0.460,0.658,0.424,0.000,0.144,0.484,0.355,0.216,0.542,0.148,0.311,0.443,0.457,0.632,0.534,0.556,0.470,0.757,0.457,0.662,0.801,0.532,0.661,0.771,0.783,0.776,1.000,1.000,0.669,0.373,0.761,0.779,0.808,0.450,0.721,1.000
