ID,Name,Disciplines,Projects,Organisations,Publications
e52e68c1-8016-41de-b2c4-9f5bb0e0e0a8,Louis Daniels,"['02080403', '04010202']",[],['c5a47d38-b0f4-42b2-8005-75e1536b6b7f'],[]
edf5af41-98a3-4ec7-b55a-c4755b5dcf54,Benoit Vandaele,['05020104'],[],['6986591b-f5db-4c0b-9a2d-ae1fe7684605'],[]
254755ed-d0a1-4419-b8d9-1551e4c85c88,Simon Remans,['01060102'],[],['e1ff43de-1101-4978-b9c5-39bbacce0ef4'],[]
23755a31-f949-4eb8-8a3a-143d3e109edd,Seppe Top,['04010203'],[],['c5a47d38-b0f4-42b2-8005-75e1536b6b7f'],[]
11faf5ef-fc0c-49fb-8592-f2a5cffd953b,Santiago Mendoza Paz,['02011299'],['accc90f3-197e-472a-b253-8ec8a2ea6e68'],"['6e6a5414-b4a8-4258-99b4-a5aca1124666', 'b3431bac-9a24-47bc-9886-04e9efcb20a6']",[]
28c2dfc2-fe81-4dba-89ff-2f8b755d883d,Jef Carlier,['05039999'],[],"['e84c0620-4cee-47a2-8c94-db4f3b78f4d2', '23bdb54f-eb12-4626-a7f7-6170716a26a9', '5b8816b4-38e3-4bf0-850a-c6e63d3a7fd7']",[]
8e413da1-35df-48f0-8e0e-636e5db868d4,Marjolein Van Damme,['05020105'],['bad5f859-136f-41c9-ae9e-f6f29f57ef08'],['4a5a9444-9dd0-4562-9ee3-686d7629c79f'],[]
a08cb17d-4007-4bcd-9d43-04ff745e323c,Guilherme Antonio Santos Calado Marianito Ascensao,"['02050202', '02050204', '02050299']",[],['f5185f06-6ff4-4fb0-b7d5-ff5dc1982d4d'],['0aff52a1-7753-45bb-ab9e-904d991428e4']
6192f062-c5a5-4e64-97fd-a5fee9dc505a,Achim Vandierendonck,"['02020402', '02020401']",['1e7aef6e-a2c5-49e0-bf9a-6c92ca3dd1f9'],['16a28d37-6005-49e4-be1b-46b8c76f6640'],"['3e511948-405e-4df1-8247-0ca1f3e12a03', '46b52a79-fa3c-4214-aeb8-0cc10a9b6303']"
4ce40a15-54dd-4cf8-824d-79fdf515792f,André Fraiture,[],[],['61e394f3-b6e4-4b75-81d3-5ef33da8dc1d'],"['51d30a44-8ab5-43cc-a8b2-21c01c5218d0', 'd5929aa1-b39a-4ed4-9c49-31cdc531fab0', 'e0a17a79-cc27-49f7-9f4a-7153c813d8f9', '3d3436b7-a173-4cf3-9dfe-eafd253db8c4', 'fe0b78af-47a8-449a-be19-6adfc57c2de1', '9b34bcdb-eada-4512-82fe-d65a1c224c8f', '562c8fed-e33a-47b4-9077-3abdcd4f00fd', '254ece2d-b56d-4a62-ab8e-0ce6b3ccd6f6', '6c548eaf-68b4-4184-9907-e4ee4ebac13b', '782a929c-254b-441d-91a9-1413725a4b7c', 'd3eb6fd2-b1cc-479f-8792-3b1aaf6586f7', '98bc570c-b2f8-4df3-8324-83b920852d5b', 'f7114b8f-6af1-44eb-b122-5946ea189cf7', 'd641c69d-8e21-41da-a659-ad121632f61c', 'book-component:d641c69d-8e21-41da-a659-ad121632f61c', '7badcc65-5fec-439c-b852-a33cf1984658', '6e664cd0-8454-44e6-8a26-b7676612be38', '74cf162a-1edf-4edd-9182-264df7cc898e', 'd5388b21-daaa-4ddb-9264-40d2331ada90', '72ea0a40-5658-458c-8e81-2f5636b8bd6b', '1529fe7b-9768-4fb6-bba1-7adbc33eda7a', '196881f1-ae67-49e5-b532-82258f1518de', '68f74348-d301-449d-8ca9-29ee01f2a28c', '78655c78-f6f7-4cf0-9b62-bf169ae197ae', 'f4fe4b06-1045-4c29-97c3-727b58908533', 'eeb78186-68c1-495b-8152-3ea4674a167a', '4f626b17-886f-4c49-97aa-59dc16ada9fb', '50d4e87e-c554-4ba3-9866-897dd4183821', 'b5a537f2-a3bc-4454-bab4-c3197bd1d297', 'c0975786-a027-49c2-951a-3a93088fe1da', '2f30d872-bb79-47e5-a802-2009d6a91031', '098af562-20c2-4876-8d59-1ae1444c2f28', 'f522763b-2ad0-444e-8479-190e642d88b7', '5ee515dd-f76e-4b68-99b9-8c39d35fbf94', 'book-component:5ee515dd-f76e-4b68-99b9-8c39d35fbf94', '5e76ed56-1f21-46db-b4fa-893c62deba58', '71b5c419-f20b-432b-b971-4938f834c54c', '7b489f51-7abe-455d-8209-68a811e4cba8', 'book-component:7b489f51-7abe-455d-8209-68a811e4cba8', 'f04f1398-a981-48eb-8dc4-b90010f25d55', '4bf0d9ea-b387-42a8-bf41-7e25d09628c8', '51815ee3-2591-41c4-ae9d-e29211cc572f', '45874157-4a02-4c00-848d-a21216ea517d', '51920e67-57e1-4ea5-b4bd-62b3a0d15434', '32aa90a8-63be-41d2-999b-b458468eec78', 'bb775e59-2c95-485a-b5a1-49d83277b8a5', '0957f1a1-eddc-4647-980f-6a32d8760e91', '6627cc8e-a3ad-42a0-a8f1-bed5c5bdd178', '6d0b6f2d-5bed-4947-bec3-da804c93c4d0', '7cc48d8f-8011-4869-af90-2119fca86fd4', 'book-component:7cc48d8f-8011-4869-af90-2119fca86fd4', '3351e27b-ad2e-432e-b5e9-51a0b08d914b', '4111732b-3e60-4ef1-a3cf-5f2b218474f4', '55894d5d-5102-436c-ba6b-efc23b842538', 'ee89d771-efee-4419-be63-04def125452e', '90a90de8-02a4-4828-a472-1d2fa50352ac', '39d1e25e-f69d-43d2-8f3f-6927f231e57c', 'f696b4ed-b9ae-4848-850f-320ca95d85d9', 'c252b34a-f902-46da-9887-32adfe612573', '08d4ee7b-6c8b-4203-b3ac-7d0b69983dd8', '4e6e8b4e-83dc-47d6-b9f8-ebde497fff12', '75de4f61-013f-4ddf-a7d8-078251330fec', '42ea1dc3-cea0-4712-a232-de63d7e383e4', 'a390817b-04a0-4fba-ab00-f9543ed20803', 'a9d4cae5-3066-4a54-86d9-d5f7dff71c17', '87599c54-c84d-4bdc-9c5a-1c1f43db6e5e', 'fd1bb6c7-be50-421b-999b-f0afe8a61f6b', 'book-component:fd1bb6c7-be50-421b-999b-f0afe8a61f6b', 'b4e2d58c-0160-4230-9866-fc66688f09cc', 'cb873aff-dcc1-4ffe-8995-d0cd62d5657a', 'ff9f5b87-4e55-43ee-8fa1-066d315a9c83', '9f3d65a0-f83e-4863-8d43-172a82d29100', 'f9772214-330f-44f2-8090-6b468b3985fa', '46e63e27-c485-463e-b402-d0be149fd417', '7e642fd7-61d5-4a21-be8b-903d98472d78', 'c3a967b5-7655-4f9a-b0df-055abb664c0d', '7d3f0cde-84a3-473a-a71f-309396499e5c', 'e0e3d48a-e0e0-408b-93ba-31e3f6fcf2ec', '223e157e-30b0-4325-9a76-8a0822e4cf36', '46ca9e8d-f258-4fd9-9254-03209e3c63a1', 'c1dfe67e-91d2-4574-af72-afd5ae74f003', '278f2e49-4e19-4485-a3f5-ac8424f3962b', 'bd085f5d-641e-43d6-818d-9002e05e1af3', '19e5b87a-02ed-4c1c-91cc-6ad9a00583de', 'c011a65c-5f52-42a5-9778-7beaa4b406f1', 'ad91989e-f498-4a95-8a49-af487a89d0ac', '231c1b75-bb2a-4372-ba2b-82518dc0a610', 'book-component:231c1b75-bb2a-4372-ba2b-82518dc0a610', '8d15222c-0553-41c6-bd24-dc6064e203e5', '5518907b-df05-4d82-83c1-c1fab3892e9b', 'b9f925b7-70f7-44de-8d2e-3527bdf61775', 'ad126934-791c-419e-8429-832aa5805c96', '9c5a7e56-b582-47e9-acec-c0bb4ea4631b', '6bdeb4f8-cdfb-4707-8361-d1d6f0daa7f6', '4ca6e529-7995-4c02-973b-727b3c34f39c', 'book-component:4ca6e529-7995-4c02-973b-727b3c34f39c', 'e80784df-653b-47bf-b7e7-bf82a03c1e75', 'book-component:e80784df-653b-47bf-b7e7-bf82a03c1e75', 'fc333dfa-61f0-4a8e-a83b-2ee05d4ac2ad', '98a5992f-0f5f-412f-9f8f-2c6521dcf0ca', 'a2787e8d-dd4b-4cbb-a6e0-ce3257b1e232', '9a5a3f3f-f4e9-4cf4-88e5-446b291dd7c5', '35dc301d-a15d-4508-ac84-8c4685bf2797', '8da9b306-eb58-4bb3-be0f-abd0a8149202', 'a73cb0e1-c937-45d3-a404-61bbd696ea2e', '3893f81c-2dfd-4685-8867-a979b7d336c7', '8c13acb2-1121-4528-8f28-e53a77bcfdcb', '4be1e38a-9c70-4025-a772-2897b6bab92b', '9a3268cb-bcd0-47a0-9f3e-46a4dc97bc26', 'd1da7c27-6b11-40b9-a7a9-82c31f50d353', 'fb9ccd2c-3601-44a5-811c-fdaa1e534a65', 'aefeee51-965a-435d-a957-eb0da81f05f6', '2dd9006b-e3f7-4cc8-960c-c25fd77036d0', '884de104-3efb-4c1c-af52-c0c8a2bdf2c3', 'e2e027e8-b22b-4e81-b730-df815180f2d3', 'd7221d53-1c80-419b-a4bf-9064e1d2d337', 'e4eeb078-4f5c-475c-93a3-d1a278516251', '1f191fe8-62ef-45f2-ba69-24171323219b', '30cf04eb-d923-440d-99ca-33133f980696', 'a8d8d9cd-c91f-434f-831c-9ac12d932541', 'ee35bff8-fc89-4c8f-ab91-8b0aca16021e', 'book-component:ee35bff8-fc89-4c8f-ab91-8b0aca16021e', '4a788443-63f3-44c4-8016-92be379331f8', '588682f3-ecc3-4097-a8a0-dce2e61567ac', '9d886410-e8e4-4db3-92b8-dafc74e4b6f5', 'c0a48066-2585-4f4e-9479-dc34c23b6aca', '07b1fd5c-8f06-4185-be2e-dd019d788c03', '8b8cf033-cf6b-49fe-8db5-4b75480614b1', 'd4b205d5-c287-473c-bfab-880fc369877a', '1a3c1d0b-435d-4f9b-86d5-05316f4b24a8', '935b9271-6d31-4ca6-b385-ec1b1db5e5b7', '91446947-e100-4574-b70f-67839a3093b4', 'db101b5a-ce96-4e2b-bc85-79145d51b2f2', '43f21526-5107-435b-8e34-59cbab3f1ee0', 'dfbe6694-aa5d-40da-b337-68f2d3f6867c', '3660a260-7769-473b-89c5-01b9c9dc9589', 'a21dde3d-6d99-4f1d-a31b-b7f842641f70', 'book-component:a21dde3d-6d99-4f1d-a31b-b7f842641f70', 'cb087eaa-4ead-4690-a40b-f7d13af4ea85', 'a326c076-a1f6-4a99-a251-49b2aca4d33f', 'b3f8bdfa-b77f-4a27-9310-1c3ac3c67cae', '69a26e24-ce01-48d7-9728-71e2be47a182', 'd337cb73-866f-454c-bfad-5bb8faae7d7d', '3a66c538-22da-48c4-a402-cb7b2f40748a', '06a646c0-3d40-4467-b70a-53ea10545688', '8560a068-9a69-4fab-91ee-8957432f5e24', '5e06c6e2-a68b-45f0-9cbb-c56ee4ed560b', 'book-component:5e06c6e2-a68b-45f0-9cbb-c56ee4ed560b', '98b25c04-03a1-424f-ac12-d9436843fa30', '636f7ce1-9025-49e4-a9a2-e42457cd9b3f', '71e00d8d-5080-4d2e-84a5-4db6c3d7c537', '823031c1-ced8-477b-9298-78b68f503728', '1d4d4443-b40b-478d-9d82-1e17d0dc43ac', 'b9da1b71-e21b-4b9f-85b4-b183820816bd', 'book-component:b9da1b71-e21b-4b9f-85b4-b183820816bd', '0772153b-7fc6-47f7-b0d0-cad9cabfbd2f', 'd7154b13-a027-4efe-9302-7c3feaddf5ac', 'ad3c0bac-7b89-4094-adc3-1d954dd255ed', 'caa4f271-717d-447c-911a-f4e37223a4b3', '35ca5f69-0a79-4bc5-b3fc-fc8f0bba5683', '1b1fe9c4-052d-4ef8-b316-22aed083932c', 'fdf5778d-33ac-42c9-b1b0-77c07a233661', 'book-component:fdf5778d-33ac-42c9-b1b0-77c07a233661', '6fe38560-8089-4439-a1f1-eb851c4c757c', 'ac075d0c-e893-4171-8d7d-0247efae67bd', '82c8b47f-077b-4c6f-a17f-c6a49379e1a7', '00877cf5-fc37-4999-bc21-cf8a48ad7085', 'e6d20458-8b20-46fd-8b4e-d48adbaaae37', '255f6ec5-922a-42d6-b94e-a04cb4a91db9', '8594e436-60fc-46c7-b5d4-2d4e265fa1f6', 'ba42c804-5be0-4f72-b29c-2a2c2b1a6dae', 'book-component:ba42c804-5be0-4f72-b29c-2a2c2b1a6dae', '7b7c4ff0-893c-4170-892e-50e4a29567f8', 'eb55f2d2-5564-4d85-85dd-f6438b6fcf5e', '32006967-2c03-4644-96fa-10afd211fb3a', '8174b1c7-0ab2-4d31-8923-1f865bca3bc6', 'b361fccc-5a04-478c-9c10-40d2f6b0c68f', '3a6dc141-3219-4f89-9ecf-473fa9a64f77', '0cc335fe-a809-4302-adc2-f2d356fb5ca5', '6389411f-60df-48c3-abf0-87f4c79fa588', '73997d67-95ea-4a43-bfd5-1282a23d4857', 'd340ea36-7ec4-478b-9481-5c7b0424917a', '0874e270-a821-4e83-b859-a4f9f4455163', '9f378e3b-1419-418e-becd-b01c57f47773', 'book-component:9f378e3b-1419-418e-becd-b01c57f47773', '3d5bfce3-82a6-4ce8-ac52-d87e935344de', '28e6ab53-d179-468c-aa4e-d53d8f99e02c', '1aa70938-37d2-4788-89f9-f3b2149a959d', 'book-component:1aa70938-37d2-4788-89f9-f3b2149a959d', 'bc7790d3-0b25-4ba0-8931-4dc154029978', 'a48c935a-313d-42c3-a317-f7c941c185b6', 'c914a110-e37d-42d6-b73c-6fe944387509', '9a90bdfd-6c66-43b3-9d3f-9b802ef33f69', '0515397f-c55b-4456-8a00-c1ebb6a67e4a', '6b0aaf97-fa8f-4375-ae6a-d08f7ef2e775', '8ef65f21-c8d3-4d90-93b9-f5fe0230e2f0', 'f0856fed-6d83-4660-91df-adaafa7b861f', 'book-component:f0856fed-6d83-4660-91df-adaafa7b861f', 'da9f5d72-7e4f-4795-9056-cce603cd8297', 'e26a3fae-e614-48f3-b809-4fcf497504f9', 'e8299980-f04b-47b7-bc7b-e3964e614a1a', '5d1013e0-0b87-4004-851f-6c122c56dbe3', '68713163-52cf-4039-bfe6-39b0030847a6', '4a217c7a-c948-4b34-a874-a1488291df9a', 'a76751bd-d015-4453-a09a-c4ba89005caf']"
7bd89fb9-0686-456e-ad43-fda403d7a245,Liesa Verscheure,['01040101'],[],['8d451675-df31-495d-bd57-aa1daeba3edc'],"['39429675-d498-47d3-81ce-39f966c96f93', '1db8735d-a2a3-4d51-920e-8ab27b1d9e0c']"
2f382fcb-a1a4-44e8-af5a-a11dc0d5f0b0,Giada Lalli,"['01020401', '01020501', '01020502', '02060103', '03020208']",['f0d51d78-007d-4dff-bca6-a3bd5699d90b'],['03313f06-3241-49b2-9883-05f1c5211b14'],[]
8be9e976-a59c-45bf-9dac-4c9f6cfa7c7b,Thomas Willemse,"['020101', '020102', '060401', '060402', '060403']",[],['fb14da26-4419-420c-9289-738f31f22851'],[]
