ID,Name,Start,End,Disciplines,Persons,Organisations,Publications,when_added
540aa957-baa8-413b-995d-000ebb94d726,"Campana points, fibrations and logarithmic geometry.",2020-08-25Z,2024-08-25Z,"['01010101', '01010111']","['76fb3576-2330-42c8-8409-ca3ea425a66a', '4a7deeb3-00d4-47bc-9ed3-154acdf6aa87']","['baae22ec-a096-40b8-bd32-e57a14d03379', 'baae22ec-a096-40b8-bd32-e57a14d03379']",[],1
c25e3c17-9f5b-4d59-9737-761e9a696754,The evolution and inheritance of superorganismal traits,2020-06-18Z,2024-06-18Z,"['01060599', '01060503', '01060402', '01060502']","['42e995d3-eecb-4589-8ab4-a8f0fbfcfa52', '2a459bad-07a1-4b75-9c5d-b0af7cf50598', '5eca2cb0-59ae-4d20-b7b7-44b631cd5546']","['91711c6f-4410-4aa8-acd3-ac3d3a48ed12', '91711c6f-4410-4aa8-acd3-ac3d3a48ed12', '91711c6f-4410-4aa8-acd3-ac3d3a48ed12']",[],1
84c545e9-cef6-4c80-ba04-03948ad26d4f,Tackling cancer metastasis as a metabolic disease.,2020-01-01Z,2020-12-31Z,['03010903'],['7815af3d-3562-48d2-8d8c-ad0e6ade2c7a'],['0d18ded3-64ce-4533-99cb-25cc98a89523'],[],1
acb74a20-470b-4016-b546-959137bc7925,”RNA modifications: new mechanisms to regulate immune homeostasis and function”,2020-10-01Z,2024-09-30Z,"['01060106', '03010210', '03011401']",['7a36505e-59fc-4835-bb0f-7e31519a04a5'],['5605d649-ad6d-4fd0-a47c-470298a5d22f'],[],1
7c2841c3-d888-447f-82d5-ab99b2610b57,Elaboration of the clinical practice guideline on Type 2 Diabetes Mellitus,2020-03-16Z,2020-12-31Z,"['03020902', '03030309']",['d4335711-3393-4214-8e89-caca1427435e'],['606e04ad-bdf3-41a7-bc76-452ba778ff69'],[],1
2cf2eef8-55e2-4459-b256-dcd1dab99656,Homelessness trajectories and non-take-up from a dynamic perspective.,2019-12-15Z,2023-12-14Z,['05040411'],['a7cc2d48-a16c-4c66-ad77-4d1b95658477'],['8ba61ba5-8f8c-47e7-83c4-7f8f1c72e18f'],[],1
2367426e-1c60-46cd-b44e-55a59d116754,INtelligente PROducten met VOorspelbare Levensduur,2015-10-01Z,2019-09-30Z,['020307'],['a61eb812-25ea-4e8e-bedb-d56c5fb1d409'],['5c9df84d-b50b-43c3-83dd-5d5242506ee2'],[],1
4d0927dd-5f35-4ab0-89e2-aaab158d1729,Gut-organ axes in health and  disease,2020-01-01Z,2024-12-31Z,['03011001'],['b07a9b67-b0bd-48b9-b7cc-e90e64e353b8'],['03bd77e2-bef0-46bc-9e50-271d552f8d91'],[],1
d2e69a70-fce2-4cfc-966b-468f2caa79df,Development of trace substances for in vivo visualization of heat shock protein 90 using positron emission tomography,2019-09-23Z,2023-09-23Z,['03050404'],"['2eab22d5-04f0-420f-935c-36c2eaeb0d72', '400cdfb1-243a-4a48-9da7-ea5296d057ce', 'f0b52260-c569-401c-9c70-fd66a8233ece']","['1f123988-3dd8-4fbe-8e98-7b8b2fff53cc', '1f123988-3dd8-4fbe-8e98-7b8b2fff53cc', '1f123988-3dd8-4fbe-8e98-7b8b2fff53cc']",[],1
28266f49-7ff0-4305-a021-e20c6ed73159,Electrical and physical charcterization of trap states at the SiC/gate dielectric interface in SiC metal-oxide-semiconductor field-effect transistors,2019-04-01Z,2023-03-31Z,"['01030409', '01030403']","['b27d5788-7726-44aa-ba82-87df7ef08c5b', 'a44258eb-e4aa-4873-87f6-dd4e9d8b317c']","['3b9b4691-0fd0-4fbc-aa3d-3f88e560336b', '3b9b4691-0fd0-4fbc-aa3d-3f88e560336b']",[],1
0b6a4cce-7744-4164-b9bd-6df1ce3c517d,Single-cell DNA and RNA sequencing of human cleavage and blastocyst stage embryos to study genomic instability and its functional impact on early development,2013-10-01Z,2020-12-31Z,"['030116', '030128', '030132', '030199', '030399', '030403', '030499', '030616', '030628', '030632', '030699', '039999']","['f216ed7f-f4a4-4fd8-a7b5-69d097cbf751', '9cc39eb2-51cb-4182-98b8-3028fbafba6d', 'f5274e3f-bfd0-4b9e-9315-3aced07e88cc', '4af624a2-f152-43ca-b49e-cb200174d16b', '635f8c22-b3b2-4241-aed5-b9a36b2e597e', 'f216ed7f-f4a4-4fd8-a7b5-69d097cbf751']","['f86ab9e1-574c-4521-a6c1-e10d77a2e495', '03313f06-3241-49b2-9883-05f1c5211b14', 'f86ab9e1-574c-4521-a6c1-e10d77a2e495', 'bf7feaed-1905-4a70-8977-2c25b70f6d20', '03313f06-3241-49b2-9883-05f1c5211b14', 'f86ab9e1-574c-4521-a6c1-e10d77a2e495']",[],1
fb28119a-a192-4302-9b2c-6edeeb127b5b,Detecting and Managing Suicidal Behavior at Emergency and Psychiatric Hospital Departments in Flanders: a randomized controlled study of the effects of a brief Educational Intervention.,2012-12-01Z,2014-03-31Z,"['050102', '050101', '050108']","['ee598f2c-ca3f-4238-b829-682f805aedf9', '9abc6a57-cd70-4210-a2f0-34f710670378']","['3ddcea51-4a40-4715-8c6f-41a5ea27c643', '3ddcea51-4a40-4715-8c6f-41a5ea27c643']",[],1
d4833a95-f4b5-4646-a1ad-a0d96e52ec46,WATERSIDE: Active Passive Water Pollution Sampling Device.,2015-10-01Z,2017-09-30Z,"['010407', '010701', '010703', '020406']","['e39a6ed3-5624-458e-b504-2206a8e66502', '4dd72618-0deb-4211-97e1-d2b2e667881e', '3ee9de48-c4a7-44d1-bc38-38ef95283599', '2395e7fc-e0c1-4648-b8e1-f13bf269375a']","['60be1df0-665a-4f41-bd02-305f1857541c', '60be1df0-665a-4f41-bd02-305f1857541c', '4481f5af-23ee-4f03-ae78-b55ef275ec1e', '618214c2-a5aa-4c22-a60b-5034f7280416']",[],1
