ID,Name,WoS disciplines,Disciplines,Persons
book-component:0d62d504-688e-4dec-bb0d-77b10920c2fc,ERROR,ERROR,ERROR,ERROR
28f39f3f-35fe-435f-8d8f-2818b0d42546,Directional and oscillating residual stress on the mesoscale in additively manufactured Ti-6Al-4V,['000464086500026'],['0104'],['24b7a366-5503-4d37-91bc-59f5ec01e1ef']
book-component:0c6ea6a3-ce4e-48e3-9d29-c6ca9d2c2ce9,ERROR,ERROR,ERROR,ERROR
5a9303c2-006d-4eb6-b4d8-51248b34354d,Artikel 22bis G.W. : naar een integrale en doeltreffende bescherming van kinderrechten,[],[],['240b1fe3-4b27-47ca-91e4-8ea47f7b859e']
9d34269e-bc2b-4d81-9027-6c3b0b520004,Primary prevention of musculoskeletal sports injuries in Physical Education Teacher Education students,[],[],['55bd17d0-9d99-4765-8d67-840bfb5966e5']
18b2f068-1854-4720-9fe4-6d2925ccd3db,Report of the IFCC working group for standardization of thyroid function tests: part 3: total thyroxine and total triiodothyronine,['000278145000012'],"['0104', '0306']",['93096693-1f94-4e19-9c23-ef61c3c6ae9a']
book-component:500e4bed-97af-424b-893d-419cb733fddb,ERROR,ERROR,ERROR,ERROR
4938d13a-2965-442e-b015-ac6dfdb1c760,Choke or Shine? Quantifying Soccer Players&#39; Abilities to Perform Under Mental Pressure,[],[],"['e281480c-7795-4730-95a1-40610681d757', 'd8fb9c50-0df4-482e-aecd-15f3f736c7c2', '0d4c3f9e-e960-409c-94ac-7c346ae25d3f']"
ee2bc651-2384-4433-8c05-257076450b7f,Adrianus Barlandus,[],[],['76c1e1d1-6f31-4c79-96c9-f55679e2c540']
book-component:b139c161-455d-4070-8793-a46b9e44ddd8,ERROR,ERROR,ERROR,ERROR
7e7f2939-fc0b-47ec-b212-470ec11db9aa,Noninvasive ventilation in amyotrophic lateral sclerosis: effects on sleep quality and quality of life,['000390138300005'],['0306'],"['fe33845c-f235-46a0-9095-f0471214bb0e', '3f9faaab-a274-4d86-abbb-a7904c9d9f00', '5108a92c-af20-4e93-a61b-4d4098556e91', 'ab80fc2e-1e37-4fe2-9f30-a0cb5e0ce66d']"
924375d5-aa80-4bfb-a75b-90924a17e1fa,Bevlogen aan het werk,[],[],['5685bac8-0ee2-4ffb-8582-14407435f159']
795f2257-98cd-443b-9649-68119e5a79f0,"A phase Ib, open-label, dose-escalation study of the safety and pharmacology of taselisib (GDC-0032) in combination with either docetaxel or paclitaxel in patients with HER2-negative, locally advanced, or metastatic breast cancer",['000491935000012'],['0306'],['420aae6a-2c84-41a2-9233-5d9a46e9e9bf']
book-component:6987a8b0-c8c8-4be5-a1f6-c97a6ea1914f,ERROR,ERROR,ERROR,ERROR
book-component:9347900c-9b93-47df-a8e1-2b07219b3455,ERROR,ERROR,ERROR,ERROR
68013bdf-9d01-417d-aee7-b575257e6ba9,About utility and disadvantage of Sociology for life,['000394729400029'],['0603'],['754b230b-884a-49b4-b2a5-69c520e556ba']
60797d3b-e174-49fc-9e83-4e979b7070ab,Molecular characteristics of community-associated methicillin-resistant Staphylococcus aureus colonizing surgical patients in Greece,['000311596300021'],"['0304', '0306']",['e43ab2c9-d689-4541-8ec6-873f98af3f34']
76fa520f-f6bf-4320-b768-80a6c83fd74d,"Megan Raby, American tropics: the Caribbean roots of bio- diversity science: flows, migrations, and exchanges",[],[],['d31d87fc-576d-42a3-bfc8-28bfbbf34887']
184e74db-1ef3-4872-84c6-8178a59bded6,Prenatal and postnatal exposure to persistent organic pollutants and infant growth,['000357297500025'],"['0207', '0304', '0305']",['f0a6dc51-4ee1-475e-bf3b-77a3e3fb3e70']
021f4587-4d30-404a-9c6a-2308c12e83ea,,[],[],"['c5dfe3de-2a36-4480-b104-eb2210562d21', 'f16b56a6-b946-42e2-abca-646c0ee9b3a0']"
book-component:1a1c2063-3cb0-4d4d-86b9-eef10b8462da,ERROR,ERROR,ERROR,ERROR
book-component:7f2e1ca7-8cb9-43af-a568-464eb391fade,ERROR,ERROR,ERROR,ERROR
7d7f91b4-cf41-49a9-bbf2-a10ee62dd54a,N-Acyl homoserine lactone derived tetramic acids impair photosynthesis in Phaeodactylum tricornutum,['000459367200008'],['0306'],"['059b2e71-9524-4a1a-a9b1-5ff8ce593960', '6dffc86c-aff1-45ca-b71c-238443399cae', 'add03162-851d-4f5e-98d1-bd186faef55c', '2e0a5dbc-b2a9-446d-8403-af4a3331cc3c', 'cc1f8fce-8be4-414f-820f-55247aa3b794', 'fef4cccd-59f5-4906-bd1c-18a487faad82', 'e4250da2-11af-4f34-9a25-56a8c10edb34', 'e9d275a0-ad4c-46d7-9fbd-0c8691e9aada']"
f3295bfd-9074-4a04-ac9f-ba3948a7d915,A guide to the PLAZA 3.0 plant comparative genomic database,[],[],['56148aad-ba78-454f-819d-7d7b956208ff']
ff194aba-85a3-48a0-9384-2cb8ba12699e,Tijdstip belastbaarheid oude opties,[],[],['20067116-accd-4cb4-9cc2-7d5551f0ab19']
1b2841f7-8310-459c-8b27-b083284c73c9,Dietary patterns in clinical subtypes of multiple sclerosis: an exploratory study.,[],[],['f462278e-70ec-4b53-aceb-dc8ceb2fe89d']
5bbb3da6-f18c-4e0b-9cc6-ff6153cacb8b,Characterization of carbonation-induced changes in crack features and geometry in hardened cement pastes,[],[],"['9d0189b5-4d3e-4c27-85dc-50ceb376d6c6', '07cd6f5a-7201-461c-9fce-4ba6ecf99abf']"
636d98d7-d129-4ac9-90a1-33c079a13395,New research gives further insights on O2-ingress in food packaging.,[],[],"['0c2d6276-050a-4537-bb70-8fd98571f589', '0c2d6276-050a-4537-bb70-8fd98571f589', '0c2d6276-050a-4537-bb70-8fd98571f589', '0c2d6276-050a-4537-bb70-8fd98571f589', '6fc46b80-8e98-4401-93cf-25b3fa6d68c9', '6fc46b80-8e98-4401-93cf-25b3fa6d68c9', '6fc46b80-8e98-4401-93cf-25b3fa6d68c9', '6fc46b80-8e98-4401-93cf-25b3fa6d68c9']"
deda09f4-c8de-409c-a4d7-c2797244bf6e,The impact of HIV and AIDS on children: lights and shadows in the &#39;successful case&#39; of Uganda,[],[],[]
book-component:18056eb7-d0ff-48af-991b-b910e0da2330,ERROR,ERROR,ERROR,ERROR
783e2587-9bbc-459a-82cb-ef51c3c1e050,Randomized Controlled Trial on Physical Therapy for TMJ Closed Lock,['000301874200006'],['0306'],"['9555dd0b-1285-4585-8cc0-8b75c97d73c3', '223d4d77-9487-48a5-b0d1-813ec1c46e21', 'cb419cb7-f972-4e6d-b6fd-6f852d2a7537']"
d95c5482-9394-4e79-b43d-c65b4854a9db,Chemical changes of thermally sterilized broccoli puree during shelf-life: Investigation of the volatile fraction by fingerprinting-kinetics,['000348619600033'],['0401'],"['87dcdc66-f166-4df7-a4e7-5d113c50761c', 'e01563fb-8421-4f2c-858c-67caa5328eb0', 'c3ea8a88-346e-4293-92a5-29d14c8c5ff2', 'd49e1e2e-c45b-4a3e-a5ee-983b4ed39b75', '7fbc18a8-59d0-4eb2-bb84-7a82e0ebe649', '70d9fcff-3cc5-40cd-9742-819da2f8ccf7']"
d91e4cf9-d4e6-4615-a8df-46985495ee22,A mirobial based system developed for self-healing concrete cracks,[],[],"['3263c69f-9b6d-452e-a2d9-e6941961992f', '88cc79e5-b962-4195-bc33-83835f6e5a6a']"
d24ad4c9-8579-4da3-8763-018a4d8eb705,Penetration through the peritrophic matrix is a key to lectin toxicity against Tribolium castaneum,['000344424800013'],"['0306', '0106']","['4ebe4ff0-f804-414b-8101-73b48d1d2adf', '4ebe4ff0-f804-414b-8101-73b48d1d2adf', '4ebe4ff0-f804-414b-8101-73b48d1d2adf', '1a9f599e-afe2-4f73-9051-a1ab13542870']"
c0630cf3-09f5-4c55-ac2a-1ebf4cd4ec0b,"About ethnicity, fitting in, and acting out: applying the person-environment fit framework to school misconduct",[],[],"['9f365149-1efc-4a1c-bd04-5029af7d952b', 'baf01fc9-54d5-4c82-b3ac-e09732fe16b7', 'baf01fc9-54d5-4c82-b3ac-e09732fe16b7']"
105635aa-7afc-44ae-8e4d-d869ea4efeb8,Identification of infectious agents associated with bovine respiratory disease in white veal calves in Belgium,[],[],"['147b5b4d-47b4-42c6-ae23-00311220fa39', '933c2fb6-8c4c-4455-9eaa-eb460a62e438', '933c2fb6-8c4c-4455-9eaa-eb460a62e438', '933c2fb6-8c4c-4455-9eaa-eb460a62e438']"
6e0cc188-4f94-450e-8dfe-3d04c8e721b2,ERROR,ERROR,ERROR,ERROR
cd050322-fd16-4fd3-9649-47cb8febefec,Measurement and simulation of the ventilation rates in a naturally ventilated Azrom type greenhouse in Zimbabwe,['000279415900015'],['0401'],"['c2103eb1-a032-42da-b896-b25ff82d05bf', '5fc7fa38-e793-4640-b884-98e0a9c3ae4f', '5fc7fa38-e793-4640-b884-98e0a9c3ae4f']"
0c1247f4-d071-4686-bf2b-636ab8f05823,"Priorities for treatment, care and information if faced with serious illness",['000329687600002'],"['0306', '0304']",['00bd2c81-75ee-4d81-8aa8-83b69601dbf9']
book-component:c756b9af-ea86-43f2-9e30-448e451bbdec,ERROR,ERROR,ERROR,ERROR
54204658-2890-43c0-bf9d-979a3bbfec25,,[],[],['f4133465-0412-435b-8df9-a08ee9ebd160']
6eaa830a-6b28-40a2-8b48-d8241da5b589,On the advantage and disadvantage of black history month for life : the creation of the post-racial era,['000369975000001'],['0601'],[]
7c8bbcdc-3db6-4d5d-9c33-cb9dc09e5784,"Heat is absolute, cold is relative",['000382270400014'],['0501'],"['98d432c7-e484-4b14-aa60-108bf63c1d15', 'dbbc1105-57ad-4257-8c0e-c4ffa748eee3']"
66cca23b-beed-46b2-b120-d101c2add9ed,Comparison between hydrophilic and hydrophobic metal nanoparticles on the phase separation phenomena during formation of asymmetric polyethersulphone membranes,['000360554300071'],"['0104', '0205']",['db336a01-0477-4e58-855c-27696baaff00']
6baf7a19-35d5-4f4e-bd0e-2763bae5a40e,The political dimension of dance : Mouffe&#39;s theory of agonism and choreography,[],[],['05c81a91-abfd-49f5-99ba-a5b2085eb1d4']
111f2dad-e59f-4375-a01b-c2babdef0eac,The septum-based therapeutic mammaplasty technique for management of sternal defects,['000274741700019'],['0306'],[]
book-component:d61461f3-867d-49c2-a12b-3e88c98158a0,ERROR,ERROR,ERROR,ERROR
7055b664-7d36-4639-a0c4-4ec004de2515,"Development of a quantitative method for the simultaneous analysis of the boar taint compounds androstenone, skatole and indole in porcine serum and plasma by means of ultra-high performance liquid chromatography coupled to high resolution mass spectrometry",['000355885400017'],"['0401', '0104', '0304']","['5f072147-1190-4228-9c18-6a6a36746a63', '7b5ce69f-1632-4eb2-84b0-dde31d775068', 'a2802828-7e0c-4c28-8024-35618fd31557']"
54107144-5e11-490c-afa8-abdfa0953478,Diagnostic endoscopy and infertility,[],[],"['baf381ca-3f47-4eb4-96e5-0b5d4759c608', '2c045782-473d-4b9d-8bbe-1ff23e1f460f', '530056d8-b978-41e8-87b6-1452f6d46ac2']"
18e0ead3-069c-4a91-bccd-f3fdc267a070,Fishes in Lake Kivu: Diversity and Fisheries,['000459770800007'],[],['7fae44fc-ae9e-4de0-9f11-fd7fb72ac0f0']
7f44ce7a-61ad-4e62-af67-8cc8b73ba4c5,Preface,[],[],['56dcc675-ebe0-4006-aa26-637eb34509fc']
092818da-0512-494c-9a59-d32f41c931ce,GasU&#43;2010shearing fabrication of multicompartmental microspheres : a oneU&#43;2010step and oilU&#43;2010free approach,['000467524500001'],"['/', '0104']","['08021001-e8ab-405a-a4a3-bc5f9eab0196', 'ee0652dd-ee8d-41d9-a64f-15f1ab7d4542', '883be167-7639-437a-9d9b-13099e61471e', '883be167-7639-437a-9d9b-13099e61471e']"
854f0d37-6bf0-4876-87f5-662a67460e8a,,[],[],"['43e051f0-787c-4be6-83d4-86352c9bd31e', '4da27295-ef9e-4e87-b32f-3fe49e31f526', '1c662256-f52b-4cdc-9c14-622132a437c2']"
df3ec3e6-3655-4e2e-a214-b6af37bd20dd,Isolation and identification of conventional dendritic cell subsets from the intestine of mice and men,[],[],['79bb7e2b-7149-4227-a88e-752eee4d9111']
66e61a60-c394-4739-96ca-72f3b2254534,Prenatal incision of ureterocele causing bladder outlet obstruction - A multicenter case series,['000413523100003'],"['0306', '0306']","['28d5b602-57fc-494b-a71b-1da23afd85ac', 'eb66e264-57a2-419d-9b3c-81c51b95c597']"
6ccbe6db-5ebf-4ce2-bce4-5ee8290e2852,Conservative management of large mandibular dentigerous cysts with a novel approach for follow up: Two case reports,[],[],"['c97bccba-00d7-411b-95c8-737a27a7c79e', 'ec3be89b-bdbd-450a-abc2-93beb14f0cf7', '2f911831-b286-422b-addc-eda5d4cd1605', 'e1cdc0ec-caf2-48a4-89c9-7b7f6184ebdd']"
