Loi,fos_codes
c:vabb:149313,5.2
c:vabb:149705,5.2
c:vabb:149849,5.1
c:vabb:150007,5.1
c:vabb:150207,1.1
c:vabb:150223,3.2
c:vabb:150529,5.8
c:vabb:150608,5.7
c:vabb:150613,5.2
c:vabb:150617,5.1
c:vabb:150638,1.5
c:vabb:150811,5.2
c:vabb:150812,2.4
c:vabb:150944,1.4
c:vabb:151028,3.3
c:vabb:151071,1.7
c:vabb:151075,3.1
c:vabb:151077,3.2
c:vabb:151079,3.3
c:vabb:151123,5.5
c:vabb:151180,5.7
c:vabb:151346,5.9
c:vabb:151378,6.2.1
c:vabb:151393,5.5
c:vabb:151425,5.4
c:vabb:151427,5.5
c:vabb:151431,5.1
c:vabb:151439,1.1
c:vabb:151448,1.2
c:vabb:151449,1.1
c:vabb:151462,5.5
c:vabb:151462,5.6
c:vabb:151462,5.4
c:vabb:151503,5.2
c:vabb:151504,3.1
c:vabb:151508,6.3.1
c:vabb:151522,5.7
c:vabb:151525,5.2
c:vabb:151526,6.2.1
c:vabb:151528,6.1.1
c:vabb:151529,5.6
c:vabb:151529,5.4
c:vabb:151546,5.3
c:vabb:151547,5.7
c:vabb:151567,6.2.2
c:vabb:151570,6.2.2
c:vabb:151577,1.2
c:vabb:151609,5.5
c:vabb:151610,5.2
c:vabb:151622,5.5
c:vabb:151654,1.6
c:vabb:151656,6.1.1
c:vabb:151660,5.6
c:vabb:151687,5.5
c:vabb:151715,2.11
c:vabb:151716,5.2
c:vabb:151717,5.9
c:vabb:151719,5.2
c:vabb:151740,1.5
c:vabb:151744,6.2.2
c:vabb:151773,5.1
c:vabb:151827,5.1
c:vabb:151828,5.2
c:vabb:151865,5.8
c:vabb:151867,2.2
c:vabb:151867,5.8
c:vabb:151894,5.8
c:vabb:151894,5.4
c:vabb:151904,5.5
c:vabb:151905,5.5
c:vabb:151906,5.6
c:vabb:151917,5.7
c:vabb:151945,5.5
c:vabb:151946,5.5
c:vabb:151950,5.5
c:vabb:151951,3.1
c:vabb:151952,3.1
c:vabb:151953,5.1
c:vabb:151956,5.2
c:vabb:151968,5.2
c:vabb:152005,5.5
c:vabb:152032,5.5
c:vabb:152039,5.4
c:vabb:152041,3.2
c:vabb:152056,6.2.2
c:vabb:152085,1.2
c:vabb:152085,1.1
c:vabb:152087,5.2
c:vabb:152113,5.4
c:vabb:152128,6.2.1
c:vabb:152129,6.2.1
c:vabb:152141,5.5
c:vabb:152172,5.2
c:vabb:152177,1.5
c:vabb:152178,5.1
c:vabb:152179,5.5
c:vabb:152190,3.2
c:vabb:152201,5.6
c:vabb:152204,5.5
c:vabb:152206,5.5
c:vabb:152208,1.6
c:vabb:152221,3.3
c:vabb:152231,6.3.2
c:vabb:152249,5.8
c:vabb:152255,2.11
c:vabb:152256,5.8
c:vabb:152258,5.2
c:vabb:152259,5.4
c:vabb:152260,5.4
c:vabb:152261,5.4
c:vabb:152262,5.4
c:vabb:152273,5.6
c:vabb:152275,5.2
c:vabb:152299,5.6
c:vabb:152324,5.6
c:vabb:152345,3.2
c:vabb:152345,5.1
c:vabb:152347,3.2
c:vabb:152348,3.2
c:vabb:152355,1.1
c:vabb:152357,5.2
c:vabb:152359,5.3
c:vabb:152360,5.2
c:vabb:152371,1.2
c:vabb:152372,1.5
c:vabb:152385,5.5
c:vabb:152390,5.7
c:vabb:152401,6.1.1
c:vabb:152406,5.2
c:vabb:152407,5.2
c:vabb:152408,5.2
c:vabb:152410,5.7
c:vabb:152411,5.5
c:vabb:152427,5.2
c:vabb:152452,5.2
c:vabb:152459,3.2
c:vabb:152477,5.2
c:vabb:152501,3.2
c:vabb:152501,3.3
c:vabb:152503,3.2
c:vabb:152510,5.4
c:vabb:152558,6.1.1
c:vabb:152572,5.2
c:vabb:152572,1.1
c:vabb:152578,3.3
c:vabb:152582,5.5
c:vabb:152583,5.5
c:vabb:152590,6.2.1
c:vabb:152590,6.2.2
c:vabb:152610,1.2
c:vabb:152639,6.2.1
c:vabb:152661,5.6
c:vabb:152665,3.3
c:vabb:152671,3.3
c:vabb:152672,1.6
c:vabb:152672,1.1
c:vabb:152673,3.3
c:vabb:152674,5.2
c:vabb:152675,3.1
c:vabb:152682,3.1
c:vabb:152686,5.2
c:vabb:152712,3.1
c:vabb:152727,5.2
c:vabb:152728,5.2
c:vabb:152733,3.1
c:vabb:152734,3.2
c:vabb:152735,3.2
c:vabb:152758,5.5
c:vabb:152763,6.2.2
c:vabb:152818,6.2.2
c:vabb:152824,5.5
c:vabb:152861,3.2
c:vabb:152861,5.1
c:vabb:152875,3.1
c:vabb:152878,1.2
c:vabb:152878,1.1
c:vabb:152885,3.3
c:vabb:152903,6.2.2
c:vabb:152904,3.1
c:vabb:152911,6.2.1
c:vabb:152919,1.6
c:vabb:152922,5.3
c:vabb:152924,3.2
c:vabb:152925,6.1.1
c:vabb:152926,5.5
c:vabb:152931,6.3.2
c:vabb:152935,3.2
c:vabb:152958,5.2
c:vabb:152959,5.7
c:vabb:152963,3.3
c:vabb:152983,1.2
c:vabb:152984,6.2.2
c:vabb:152991,3.3
c:vabb:152993,3.3
c:vabb:152994,3.3
c:vabb:153006,3.1
c:vabb:153006,1.6
c:vabb:153031,3.3
c:vabb:153033,3.1
c:vabb:153036,3.1
c:vabb:153037,3.3
c:vabb:153038,5.4
c:vabb:153051,1.2
c:vabb:153052,3.3
c:vabb:153055,5.2
