Loi,vods
c:vabb:149313,0502 Economics and business
c:vabb:149705,0502 Economics and business
c:vabb:149849,0501 Psychology and cognitive sciences
c:vabb:150007,0501 Psychology and cognitive sciences
c:vabb:150207,0101 Mathematical sciences
c:vabb:150223,0302 Clinical sciences
c:vabb:150529,0508 	Media and communications
c:vabb:150608,0507 Social and economic geography
c:vabb:150613,0502 Economics and business
c:vabb:150617,0501 Psychology and cognitive sciences
c:vabb:150638,0107 Environmental sciences
c:vabb:150811,0502 Economics and business
c:vabb:150812,0204 (Bio)chemical engineering
c:vabb:150944,0104 Chemical sciences
c:vabb:151028,0303 Health sciences
c:vabb:151071,0199 Other natural sciences
c:vabb:151075,0306 Translational sciences
c:vabb:151077,0302 Clinical sciences
c:vabb:151079,0303 Health sciences
c:vabb:151123,0505 Law and legal studies
c:vabb:151180,0507 Social and economic geography
c:vabb:151346,0599 Other social sciences
c:vabb:151378,060202 Linguistics
c:vabb:151393,0505 Law and legal studies
c:vabb:151425,0504 Sociology and anthropology
c:vabb:151427,0505 Law and legal studies
c:vabb:151431,0501 Psychology and cognitive sciences
c:vabb:151439,0101 Mathematical sciences
c:vabb:151448,0102 Information and computing sciences
c:vabb:151449,0101 Mathematical sciences
c:vabb:151462,0505 Law and legal studies
c:vabb:151462,0506 Political sciences
c:vabb:151462,0504 Sociology and anthropology
c:vabb:151503,0502 Economics and business
c:vabb:151504,0306 Translational sciences
c:vabb:151508,060302 Philosophy
c:vabb:151522,0507 Social and economic geography
c:vabb:151525,0502 Economics and business
c:vabb:151526,060202 Linguistics
c:vabb:151528,060104 History
c:vabb:151529,0506 Political sciences
c:vabb:151529,0504 Sociology and anthropology
c:vabb:151546,0503 Pedagogical and educational sciences
c:vabb:151547,0507 Social and economic geography
c:vabb:151567,060203 Literary studies
c:vabb:151570,060203 Literary studies
c:vabb:151577,0102 Information and computing sciences
c:vabb:151609,0505 Law and legal studies
c:vabb:151610,0502 Economics and business
c:vabb:151622,0505 Law and legal studies
c:vabb:151654,0106 Biological sciences
c:vabb:151656,060104 History
c:vabb:151660,0506 Political sciences
c:vabb:151687,0505 Law and legal studies
c:vabb:151715,0299 Other engineering and technology
c:vabb:151716,0502 Economics and business
c:vabb:151717,0599 Other social sciences
c:vabb:151719,0502 Economics and business
c:vabb:151740,0107 Environmental sciences
c:vabb:151744,060203 Literary studies
c:vabb:151773,0501 Psychology and cognitive sciences
c:vabb:151827,0501 Psychology and cognitive sciences
c:vabb:151828,0502 Economics and business
c:vabb:151865,0508 	Media and communications
c:vabb:151867,"0208 Computer engineering, information technology and mathematical engineering"
c:vabb:151867,0508 	Media and communications
c:vabb:151894,0508 	Media and communications
c:vabb:151894,0504 Sociology and anthropology
c:vabb:151904,0505 Law and legal studies
c:vabb:151905,0505 Law and legal studies
c:vabb:151906,0506 Political sciences
c:vabb:151917,0507 Social and economic geography
c:vabb:151945,0505 Law and legal studies
c:vabb:151946,0505 Law and legal studies
c:vabb:151950,0505 Law and legal studies
c:vabb:151951,0306 Translational sciences
c:vabb:151952,0306 Translational sciences
c:vabb:151953,0501 Psychology and cognitive sciences
c:vabb:151956,0502 Economics and business
c:vabb:151968,0502 Economics and business
c:vabb:152005,0505 Law and legal studies
c:vabb:152032,0505 Law and legal studies
c:vabb:152039,0504 Sociology and anthropology
c:vabb:152041,0302 Clinical sciences
c:vabb:152056,060203 Literary studies
c:vabb:152085,0102 Information and computing sciences
c:vabb:152085,0101 Mathematical sciences
c:vabb:152087,0502 Economics and business
c:vabb:152113,0504 Sociology and anthropology
c:vabb:152128,060202 Linguistics
c:vabb:152129,060202 Linguistics
c:vabb:152141,0505 Law and legal studies
c:vabb:152172,0502 Economics and business
c:vabb:152177,0107 Environmental sciences
c:vabb:152178,0501 Psychology and cognitive sciences
c:vabb:152179,0505 Law and legal studies
c:vabb:152190,0302 Clinical sciences
c:vabb:152201,0506 Political sciences
c:vabb:152204,0505 Law and legal studies
c:vabb:152206,0505 Law and legal studies
c:vabb:152208,0106 Biological sciences
c:vabb:152221,0303 Health sciences
c:vabb:152231,060304 Theology and religious studies
c:vabb:152249,0508 	Media and communications
c:vabb:152255,0299 Other engineering and technology
c:vabb:152256,0508 	Media and communications
c:vabb:152258,0502 Economics and business
