ID,Name,Disciplines,Abstract,Keywords
b24e4cc0-ec2e-43ae-9965-291821833534,Exploring progressive endothelial heterogeneity as mechanism of therapy resistance in glioma ,['03010502'], p In this project we aim to unravel the origin genetic and metabolic profile and function of endothelial like cells ELC in vascular dysmorphia dysfunction tumour growth and potential contribution to therapy resistance and relapse p ,"['endothelial like cells ELC ', 'vascular']"
1ec1c1c6-a6db-491b-b8df-5c02c82a6a96,Greenberg schemes and the motivis Serre invariant ,['010105'], p In this thesis we use logarithmic methods to study motivic objects br Let R be a complete discrete valuation ring with perfect residue field k and denote by K its fraction field br We give in chapter 2 a new construction of the motivic Serre invariant of a smooth K variety and extend it additively to arbitrary K varieties br The main advantage of this construction is to rely only on resolution of singularities and not on a characteristic zero assumption as did previous results br As an application we give a conditional positive answer to Serre 39 s question on the existence of rational fixed points of a G action on the affine space for G a finite l group br We end the chapter by showing how the logarithmic point of view that we use in our construction leads to a new understanding of the motivic nearby cycles with support of Guibert Loeser and Merle as a motivic volume p p In chapter 4 we use the theory of logarithmic geometry to derive a new formula for the motivic zeta function via the volume Poincar series br More precisely we show how to compute the volume Poincar series associated to a generically smooth log smooth R scheme in terms of its log geometry more specifically in terms of its associated fan in the sense of Kato br This formula yields a much smaller set of candidate poles for the motivic zeta function and seems especially well suited to tackle the monodromy conjecture of Halle and Nicaise for Calabi Yau K varieties for which log smooth models appear naturally through the Gross Siebert programme on mirror symmetry br We end the chapter by showing how this formula sheds new light on previous results regarding the motivic zeta function of a polynomial nondegenerate with respect to its Newton polyhedron and of a polynomial in two variables p ,['Invariant']
85037a42-482e-4246-94d7-dacc2ad7062c,Ganaxolone treatment of fragile X syndrome ,"['010607', '010611', '030116', '030119', '030121', '030216', '030219', '030221', '030616', '030619', '030621']",This project represents a formal research agreement between UA and on the other hand the client UA provides the client research results mentioned in the title of the project under the conditions as stipulated in this contract ,"['HUMAN GENETICS', 'FRAGILE X SYNDROME']"
1d8912e1-787e-4362-88b7-32c4288ac104,Towards an integrated framework for improving the efficacy of prevention and habilitation of sports injuries,"['010103', '010202', '010203', '010204', '010205', '010206', '010207', '010208', '010209', '010299']",A constant refrain in today 39 s world is that being active is crucial to a healthy lifestyle However increased activity also results in a corresponding increase in sports related injuries This has significant costs both for the injured individual and society e g health insurers Physical therapy can be used to both prevent and recover from an injury Physical therapy generally entails visiting a therapist and performing exercises at home Yet it is often difficult to master the exercises given the limited interaction between the patient and the therapist which could lead to incorrect movements that can prolong a patient 39 s recovery The goal of this proposal is to explore how the combination of machine learning and biomechanics can be used to improve the rehabilitation process We will focus on the lower extremities and we will look at two scenarios a exercises performed in a constrained environment and b exercises performed during daily life outdoors ,"['Sports monitoring', 'Machine Learning']"
39847732-582e-4d71-8581-ab8addfb44a3,Fostering grassroots entrepreneurship in Burundi,['04019999'], p em Planned outputs of the research em p p A report will be produced that contains following parts p ul li An overview of Belgian and international initiatives in supporting Burundian value chains li li An assessment of the most promising value chains regarding coherence and efficiency in a fragile context li li An assessment of how entrepreneurship is promoted and individual and group level by Burundian Belgian or international projects and programs with a focus on the best practices li li An overview of the private sector in Burundi that has a development potential and an assessment of their needs li li An overview of actions and instruments that are being used by these Burundian Belgian and international projects to stimulate private sector development and an assessment of how relevant these are in a fragile state li li A policy proposal for more coherent action to stimulate a private sector for development that is complementary with ongoing initiatives and identifies niches where Belgian experience could play a meaningful role This policy proposal will take into account gender climate and fragility using the three toolboxes mentioned earlier li ul p This research project can contribute to the Capacity Building on Life Skills Youth Reproductive Health Citizenship Peace and Entrepreneurship Education Placing employment at the heart of macroeconomic and sectoral policies to influence the demand for employment is one of the objectives of the current National Development Plan 2018 2027 p ,"['private sector', 'Burundi', 'entrepreneurship', 'climate']"
427a073d-fab0-46d9-84eb-6ea5680e0b0f,Neurotoxicity of anesthetics in the developing brain of fetal rabbits and neuroprotective agents,"['030101', '030115', '030601', '030615', '030109', '030112', '030403', '030609', '030612']", p There is increasing concern that exposure of the developing brain to anesthetics might be associated with impaired neurodevelopmental outcome in children undergoing surgery during their early life or even before birth p p Preclinical experiments in rodents and non human primates have consistently shown that virtually all commonly used anesthetics cause apoptotic neurodegeneration that result in persisting neurocognitive impairment In humans several retrospective clinical studies did show that exposure to anesthesia before the age of 3 4 years is associated with developmental and behavioural disorders later in life and even structural brain deficits for example lower school grades lower IQ test scores a higher risk for language disability at the age of 10 years and a higher incidence of developmental and behavioural disorders Other clinical studies failed to demonstrate this association p p The developing brain might also be exposed to anesthesia even before birth when pregnant women undergo surgery under anesthesia either for maternal reasons or for fetal surgery The former is not that rare e g in UZ Leuven 189 non obstetric procedures in 171 patients were done during the last 16 years for a total of 35612 general anesthesia for other reasons Operations on the fetus are often performed without general anesthesia such as fetoscopic treatment of congenital diaphragmatic hernia in which the fetus gets directly anesthesia and immobilization However other major procedures such as myelomeningocele repair require general anesthesia In 2017 and the first nine months of 2018 our center performed a total of 246 fetal procedures of which 21 were prenatal myelomeningocele repairs under general anesthesia Though not many it is estimated that the indications for fetal surgery will continue to increase especially if they can be done by minimal access p p In the literature concerns are growing about potential disadvantageous effects of anesthetics on the brain of the human fetus The fetus might even be more susceptible to adverse neurocognitive effects of anesthetics than young children p p In this PhD project the fetal rabbit model will be used to investigate these neurotoxic effects on the fetal brain both on short and on long term The brain damage will be evaluated using histology of the brain and neurocognitive testing The neurotoxic effects of 1 MAC sevoflurane without surgery will be compared with these of the combination of 1 MAC sevoflurane with surgery Clinically the most basic choice for maintenance consists of volatile anesthetics versus total intravenous anesthesia therefore the effects on the fetal brain of sevoflurane will be compared with propofol maintenance anesthesia The noble gases Xenon Argon and the intravenous agent dexmedetomidine exert potential neuroprotective properties by attenuating the apoptosis of neurons in the brain The effects of adding these agents to sevoflurane will be evaluated p ,"['Anesthesiology', 'Obstetrics', 'Fetal medicine', 'Neurotoxicity']"
cbc3a3fd-baae-41af-8c75-30c559457706,Seismic studies for prominences,['01030114'], p In this PhD we will study oscillatory dynamics in fluxropes magnetic arcades and prominences We plan to link linear magnetohydrodynamic theory with full nonlinear simulations in stratified configurations Starting from recent work where prominences embedded in fluxropes are subject to large amplitude oscillations LAOs of a specific type longitudinal or transverse the research will look at mixed type displacements with coupled longitudinal and transverse motions We will also increase the numerical resolution to address damping of wave modes due to wave leakage and or due to resonant absorption processes The research will confront simulated wave modes with observations by producing synthetic views on the simulated LAOs At the later stages we will investigate the role of fine structure in the prominence body on their collective oscillations These can start from simplified setups in loops and slab like arcades to progress to fully realistic models of fluxrope embedded multi threated filaments p ,['prominences']
b84b9a91-bf07-4539-bf53-7138a21d0152,European identity and exclusion the discursive construction of the 39 Judeo Christian 39 tradition ,[],While the EU Parliament did not endorse the reference to Europes Judeo Christian roots in its the constitution the motion nonetheless provoked an on going debate concerning Europes identity On the one side are those who cite the Judeo Christian commandment to care for the stranger as central to European civilization on the other are those who argue for the exclusion of Islam from Europe in the name of the Judeo Christian tradition While the media claims that Islamophobia is caused by a European identity crisis these claims lack academic validation To do so I will 1 investigate the identity facet of nationalism in the 20th century with its concurrent rise of anti Semitism 2 examine whether the current identity based rhetoric of Judeo Christianity veils a violent past while producing a new enemy and 3 apply these results in the analysis of Europes current situation with regard to Islam Aware of the differences between Europes two forms of anti Semitism one Judaic the other Islamic my working hypothesis is that an important parallel is to be found in relation to European identity formation If this is the case then perhaps the awareness of both the parallels and differences may help to prevent history from repeating itself ,"['Islamophobia', 'Politics', 'Other', 'Community', 'Exclusion', 'Europe', 'Judeo Christian']"
7badc9fd-bc93-4661-92ef-d7ffd6c97c17,Contention Urban petitions and communal politics in late medieval Europe,['06010412'],This project offers an innovative perspective on medieval insurgency Instead of considering protestors as rebels inclined to violence as scholarship has often done in the past this project sees them as creative voices calling for change and good governance from the authorities For far too long the history of protest in preindustrial Europe and the Middle East has been a violent narrative that dismissed the collective actions of citizens as harmful to political progress Departing from the focus on aggression this project investigates to which extent the beliefs and thoughts of citizens are responsible for political change Therefore the ideas motivating commoners claims and desires their 39 contentious thought 39 including the decisions they made when they gained power 39 communal politics 39 are the focus of this study ,"['urban history', 'social history', 'political history', 'Middle Ages']"
d438fbe5-2b4b-4b71-870c-c392dd52ecb4,RE CHARGING THE PARISH CHURCH A RESEARCH BY DESIGN APPROACH TO THE ADAPTIVE REUSE OF RELIGIOUS HERITAGE IN FLANDERS,"['020101', '020102', '020108', '060401', '060402', '060403', '060408']", p RE CHURCH explores how architectural design can raise the potential of built heritage as a resource for spatial cultural and social development In particular we seek to conceive more innovative ways of managing the increasing number of redundant religious sites and the problem of their future use RE CHURCH revolves around two questions 1 What are the characteristics of built heritage that make it a potential resource for future development 2 How can architectural design help to unlock this potential The novelty of of this project lies in the fact that it is the first systematic exploration of its kind in Flanders Also its approach is innovative for the problem of church redundancy is seen from a design perspective and not as a real estate or governance issue In terms of method the project relies on an unusual combination of two emerging fields within the architectural discipline namely the new paradigm of research by design and the emergent field of adaptive reuse As the research will be conducted to a large extent in parallel with an advanced master s studio at the Faculty of Architecture of the KU Leuven RE CHURCH will also contribute to and benefit from the interchange between education and research p ,"['Architecture', 'adaptive reuse', 'religous built heritage parish churches ']"
